time_sec,ecgi,residual,status
60.0000,001-01-0000001,11.5085,NORMAL
60.0000,001-01-0000002,6.3664,NORMAL
60.0000,001-01-0000003,6.7789,NORMAL
60.0000,001-01-0000004,6.2768,NORMAL
60.0000,001-01-0000005,6.3547,NORMAL
60.0000,001-01-0000006,6.3391,NORMAL
60.0000,001-01-0000007,6.5454,NORMAL
60.0000,001-01-0000008,6.3965,NORMAL
60.0000,001-01-0000009,6.3366,NORMAL
60.0000,001-01-0000010,6.0853,NORMAL
60.0000,001-01-0000011,6.1085,NORMAL
60.0000,001-01-0000012,6.0469,NORMAL
60.0000,001-01-0000013,6.1216,NORMAL
60.0000,001-01-0000014,6.3658,NORMAL
60.0000,001-01-0000015,6.2768,NORMAL
60.0000,001-01-0000016,6.7531,NORMAL
60.0000,001-01-0000017,6.5377,NORMAL
60.0000,001-01-0000018,6.6637,NORMAL
60.0000,001-01-0000019,6.3615,NORMAL
60.0000,001-01-0000020,6.2900,NORMAL
60.0000,001-01-0000021,6.1504,NORMAL
60.0000,001-01-0000022,6.5398,NORMAL
60.0000,001-01-0000023,6.7329,NORMAL
60.0000,001-01-0000024,6.6673,NORMAL
60.0000,001-01-0000025,6.6983,NORMAL
