time_sec,num_measurements,avg_residual,num_cells,num_fake_cells,runtime_ms
3.0,4650,680175.351415,25,1,156551.07
16.0,4725,640836.727058,25,1,159428.15
5.0,4625,650300.030883,25,1,159414.0
1.0,4700,642826.654693,25,1,160191.69
7.0,4725,654663.011971,25,1,161035.93
13.0,4650,644163.253775,25,1,161121.97
2.0,4725,627610.822931,25,1,161279.23
15.0,4700,632197.778133,25,1,161264.77
11.0,4725,664323.026547,25,1,162687.29
10.0,4750,604813.134811,25,1,161998.29
9.0,4675,647499.918879,25,1,162370.33
12.0,4750,647986.688162,25,1,162957.31
6.0,4725,640392.786759,25,1,163742.52
4.0,4650,675276.617888,25,1,165021.12
14.0,4825,653242.345741,25,1,165103.43
8.0,4775,664681.5388,25,1,167688.42
17.0,4600,647756.945087,25,1,154345.84
20.0,4650,619838.256337,25,1,154933.84
21.0,4725,566943.642356,25,1,158508.33
23.0,4700,573255.619904,25,1,158395.57
26.0,4725,574014.773759,25,1,158072.64
24.0,4700,588322.646073,25,1,160496.2
19.0,4625,640296.319524,25,1,162361.86
29.0,4725,591860.860611,25,2,157838.19
31.0,4675,541903.614086,25,1,157595.89
32.0,4575,625433.729051,25,1,155315.07
22.0,4700,592756.759219,25,1,162634.67
25.0,4600,709768.465849,25,1,161285.46
18.0,4700,611111.450787,25,1,165242.45
27.0,4675,629729.163059,25,1,161884.35
28.0,4800,627423.238559,25,2,161984.43
30.0,4675,528559.026306,25,1,162023.52
33.0,4675,618144.281581,25,1,155839.52
34.0,4700,567342.234378,25,3,151648.97
35.0,4650,573674.241218,25,1,152191.73
42.0,4650,578026.920256,25,1,150215.9
37.0,4675,595871.668337,25,1,151598.75
45.0,4750,501118.306773,25,1,149975.44
41.0,4625,547984.276828,25,1,154121.3
38.0,4650,643563.593011,25,1,156628.32
47.0,4625,590465.89245,25,1,153848.84
39.0,4825,536040.055762,25,1,157906.7
36.0,4800,569552.620731,25,1,160072.05
40.0,4775,543379.309567,25,1,159226.02
44.0,4675,543271.775473,25,1,158601.41
43.0,4775,544153.490846,25,1,159969.58
46.0,4750,563659.118406,25,1,159237.13
48.0,4775,607383.54707,25,1,157520.58
49.0,4725,516832.092191,25,1,109032.05
52.0,4700,542913.468984,25,1,108996.16
55.0,4650,488152.521388,25,1,104843.96
53.0,4625,548999.770991,25,1,109652.93
50.0,4750,516651.59671,25,1,112936.64
51.0,4575,592811.06288,25,1,111234.67
56.0,4700,542006.15745,25,1,105561.68
54.0,4700,535122.59114,25,2,109744.33
58.0,4700,513879.712664,25,1,105215.06
59.0,4800,506524.955025,25,1,105010.03
57.0,4725,582333.880247,25,3,105556.59
