time_sec,imsi,ue_x,ue_y,ue_z,serving_ecgi,rsrp_dbm,rsrq_db,snr_db,timing_advance
1.000,12,-35.315,129.634,2.000,001-01-0000001,-39.853,15.040,13.574,2
1.000,13,846.596,136.552,2.000,001-01-0000001,-52.729,13.689,6.271,10
1.000,31,-193.474,345.773,2.000,001-01-0000001,-43.808,13.096,10.703,5
1.000,40,401.003,342.762,2.000,001-01-0000001,-44.953,14.491,7.111,5
1.000,42,-31.369,194.832,2.000,001-01-0000001,-50.646,15.170,1.504,2
1.000,57,1224.606,231.631,2.000,001-01-0000001,-64.454,8.046,-6.198,15
1.000,72,30.792,277.219,2.000,001-01-0000001,-41.267,14.933,8.273,3
1.000,87,204.402,166.887,2.000,001-01-0000001,-51.075,15.891,4.375,2
1.000,132,715.047,72.377,2.000,001-01-0000001,-59.761,10.740,2.491,8
1.000,134,124.474,392.937,2.000,001-01-0000001,-55.257,8.792,-0.269,4
1.000,137,58.340,-50.663,2.000,001-01-0000001,-35.097,14.703,30.918,2
1.000,144,-205.930,81.907,2.000,001-01-0000001,-42.335,16.648,26.353,4
1.000,148,832.959,813.336,2.000,001-01-0000001,-59.850,11.681,-3.334,14
1.000,164,245.623,570.064,2.000,001-01-0000001,-44.575,10.654,2.215,7
1.000,190,359.736,46.935,2.000,001-01-0000001,-42.575,14.882,6.313,4
2.000,12,-31.913,130.699,2.000,001-01-0000001,-50.192,14.706,11.830,2
2.000,14,0.802,1255.949,2.000,001-01-0000001,-55.724,8.584,-2.439,15
2.000,27,35.086,-97.167,2.000,001-01-0000001,-49.881,13.206,20.604,2
2.000,31,-191.824,346.861,2.000,001-01-0000001,-58.971,12.577,4.502,5
2.000,33,280.934,80.979,2.000,001-01-0000001,-54.019,10.451,3.352,3
2.000,42,-25.842,198.720,2.000,001-01-0000001,-32.713,14.803,29.306,2
2.000,47,219.227,-37.894,2.000,001-01-0000001,-35.323,15.036,19.789,2
2.000,61,-111.676,609.387,2.000,001-01-0000001,-56.053,15.123,0.523,7
2.000,68,337.881,891.733,2.000,001-01-0000001,-58.320,10.458,2.204,11
2.000,72,30.856,290.045,2.000,001-01-0000001,-43.523,13.385,20.329,3
2.000,79,-229.169,508.315,2.000,001-01-0000001,-54.667,14.039,2.142,7
2.000,87,213.408,176.591,2.000,001-01-0000001,-41.216,14.335,12.622,2
2.000,128,18.500,411.011,2.000,001-01-0000001,-49.238,7.161,0.397,4
2.000,137,67.254,-39.380,2.000,001-01-0000001,-42.041,11.251,17.432,1
2.000,144,-198.281,86.645,2.000,001-01-0000001,-49.592,17.367,16.143,3
2.000,172,233.016,294.433,2.000,001-01-0000001,-36.136,10.564,15.581,4
2.000,189,-156.815,-166.786,2.000,001-01-0000001,-42.672,13.671,20.128,4
2.000,190,366.971,49.431,2.000,001-01-0000001,-43.059,14.047,10.762,4
