time_sec,imsi,estimated_ue_x,estimated_ue_y,estimated_ue_z,ue_x,ue_y,ue_z,ecgi,cell_role,rsrp_dbm,timing_advance
1.0,3,1575.1,1887.49,2.0,1665.01,1822.76,2.0,001-01-0000013,N,-84.199,14
1.0,3,1575.1,1887.49,2.0,1665.01,1822.76,2.0,001-01-0000014,N,-77.797,11
1.0,3,1575.1,1887.49,2.0,1665.01,1822.76,2.0,001-01-0000015,N,-72.454,11
1.0,3,1575.1,1887.49,2.0,1665.01,1822.76,2.0,001-01-0000016,N,-99.247,22
1.0,3,1575.1,1887.49,2.0,1665.01,1822.76,2.0,001-01-0000017,N,-84.331,15
1.0,3,1575.1,1887.49,2.0,1665.01,1822.76,2.0,001-01-0000018,N,-76.327,9
1.0,3,1575.1,1887.49,2.0,1665.01,1822.76,2.0,001-01-0000019,N,-58.197,5
1.0,3,1575.1,1887.49,2.0,1665.01,1822.76,2.0,001-01-0000020,N,-71.436,6
1.0,3,1575.1,1887.49,2.0,1665.01,1822.76,2.0,001-01-0000021,N,-85.294,21
1.0,3,1575.1,1887.49,2.0,1665.01,1822.76,2.0,001-01-0000022,N,-75.962,15
1.0,3,1575.1,1887.49,2.0,1665.01,1822.76,2.0,001-01-0000023,N,-90.806,9
1.0,3,1575.1,1887.49,2.0,1665.01,1822.76,2.0,001-01-0000024,S,-49.666,3
1.0,3,1575.1,1887.49,2.0,1665.01,1822.76,2.0,001-01-0000025,N,-74.169,5
1.0,4,1356.27,499.93,2.0,1433.31,474.67,2.0,001-01-0000001,N,-71.12,18
1.0,4,1356.27,499.93,2.0,1433.31,474.67,2.0,001-01-0000002,N,-86.939,13
1.0,4,1356.27,499.93,2.0,1433.31,474.67,2.0,001-01-0000003,N,-80.755,8
1.0,4,1356.27,499.93,2.0,1433.31,474.67,2.0,001-01-0000004,N,-68.548,6
1.0,4,1356.27,499.93,2.0,1433.31,474.67,2.0,001-01-0000005,N,-81.621,9
1.0,4,1356.27,499.93,2.0,1433.31,474.67,2.0,001-01-0000006,N,-89.005,18
1.0,4,1356.27,499.93,2.0,1433.31,474.67,2.0,001-01-0000007,N,-93.468,12
1.0,4,1356.27,499.93,2.0,1433.31,474.67,2.0,001-01-0000008,N,-52.492,6
1.0,4,1356.27,499.93,2.0,1433.31,474.67,2.0,001-01-0000009,S,-49.393,1
1.0,4,1356.27,499.93,2.0,1433.31,474.67,2.0,001-01-0000010,N,-63.244,7
1.0,4,1356.27,499.93,2.0,1433.31,474.67,2.0,001-01-0000011,N,-87.811,20
1.0,4,1356.27,499.93,2.0,1433.31,474.67,2.0,001-01-0000012,N,-82.097,14
1.0,4,1356.27,499.93,2.0,1433.31,474.67,2.0,001-01-0000013,N,-73.0,9
