time_sec,num_measurements,avg_residual,num_cells,num_fake_cells,runtime_ms
4.0,4500,683427.211857,25,1,155596.56
16.0,4575,654601.550745,25,1,155911.29
9.0,4525,656153.008747,25,1,156438.51
2.0,4550,618425.88084,25,1,158119.55
7.0,4575,666167.411085,25,1,158293.17
1.0,4575,654366.712104,25,1,158775.98
15.0,4600,647327.088387,25,1,158475.58
10.0,4600,620293.274281,25,1,159617.45
13.0,4575,657752.343782,25,1,159567.76
5.0,4450,664364.196201,25,1,160093.37
12.0,4600,656588.184211,25,1,160568.69
14.0,4725,664455.687236,25,1,160482.58
3.0,4475,682524.356486,25,1,160810.75
11.0,4600,681054.513912,25,1,162586.27
6.0,4550,651422.041103,25,1,162584.48
8.0,4675,681017.532928,25,1,163925.61
17.0,4575,657457.456394,25,1,145789.93
25.0,4500,722333.960094,25,1,145580.66
20.0,4400,638925.083707,25,1,148431.64
23.0,4525,573536.803821,25,1,149473.42
19.0,4475,659904.741398,25,1,152041.39
24.0,4550,591284.533385,25,1,149802.88
18.0,4600,622842.378258,25,1,153733.7
32.0,4475,640080.827161,25,1,145619.12
27.0,4425,645169.106522,25,1,150062.84
26.0,4525,585466.234508,25,1,150868.03
21.0,4625,575299.63228,25,1,154969.03
22.0,4675,601522.014281,25,1,155142.74
30.0,4500,527057.70732,25,1,152097.24
29.0,4500,609374.449254,25,1,154807.89
28.0,4575,639621.2572,25,2,155517.88
31.0,4600,538558.285348,25,2,156448.99
33.0,4600,623243.585278,25,1,152722.47
35.0,4600,581994.925737,25,1,146928.9
37.0,4525,608642.919008,25,1,147785.94
41.0,4450,559341.55829,25,1,148474.91
34.0,4525,581752.211872,25,2,151650.85
42.0,4400,591062.202317,25,1,149503.7
39.0,4650,543345.829209,25,1,153715.68
36.0,4625,559858.793668,25,1,155666.61
44.0,4550,552966.058498,25,1,150829.51
38.0,4475,656300.258881,25,1,155495.93
46.0,4450,572545.060518,25,1,148441.25
43.0,4575,555556.584525,25,1,152497.91
40.0,4625,547474.080378,25,1,155666.41
45.0,4675,501795.26073,25,1,153112.59
48.0,4575,626412.615984,25,1,146737.82
47.0,4575,601720.03785,25,1,152320.94
49.0,4600,525902.487616,25,1,106222.62
53.0,4450,554456.859793,25,1,103313.94
54.0,4625,546752.243418,25,2,101536.99
52.0,4575,552715.072119,25,1,104835.2
50.0,4650,529490.338385,25,2,109291.27
51.0,4550,602995.885285,25,1,108153.39
55.0,4450,495387.806325,25,1,101857.36
59.0,4625,519693.386849,25,1,100919.8
57.0,4625,585617.072367,25,3,101404.79
56.0,4600,553396.343669,25,1,102365.57
58.0,4575,529137.891878,25,1,101067.11
