time_sec,ecgi,residual,status
60.0000,001-01-0000001,13.6052,NORMAL
60.0000,001-01-0000002,5.9792,NORMAL
60.0000,001-01-0000003,6.0083,NORMAL
60.0000,001-01-0000004,6.4385,NORMAL
60.0000,001-01-0000005,6.5260,NORMAL
60.0000,001-01-0000006,6.5271,NORMAL
60.0000,001-01-0000007,6.3904,NORMAL
60.0000,001-01-0000008,6.6057,NORMAL
60.0000,001-01-0000009,6.2017,NORMAL
60.0000,001-01-0000010,6.8120,NORMAL
60.0000,001-01-0000011,6.9182,NORMAL
60.0000,001-01-0000012,6.2802,NORMAL
60.0000,001-01-0000013,6.0255,NORMAL
60.0000,001-01-0000014,6.2671,NORMAL
60.0000,001-01-0000015,6.3520,NORMAL
60.0000,001-01-0000016,6.4055,NORMAL
60.0000,001-01-0000017,6.8311,NORMAL
60.0000,001-01-0000018,6.3479,NORMAL
60.0000,001-01-0000019,6.6559,NORMAL
60.0000,001-01-0000020,6.3997,NORMAL
60.0000,001-01-0000021,6.4751,NORMAL
60.0000,001-01-0000022,6.5043,NORMAL
60.0000,001-01-0000023,6.7871,NORMAL
60.0000,001-01-0000024,6.2194,NORMAL
60.0000,001-01-0000025,6.7062,NORMAL
