time_sec,ecgi,score,threshold,status,is_fake_gt
1.0,001-01-0000001,1.561831,1.215981,FAKE,1
1.0,001-01-0000002,0.811899,1.215981,LEGIT,0
1.0,001-01-0000003,0.819654,1.215981,LEGIT,0
1.0,001-01-0000004,0.678775,1.215981,LEGIT,0
1.0,001-01-0000005,0.777329,1.215981,LEGIT,0
1.0,001-01-0000006,0.91572,1.215981,LEGIT,0
1.0,001-01-0000007,0.90332,1.215981,LEGIT,0
1.0,001-01-0000008,1.01257,1.215981,LEGIT,0
1.0,001-01-0000009,0.712245,1.215981,LEGIT,0
1.0,001-01-0000010,0.931291,1.215981,LEGIT,0
1.0,001-01-0000011,0.760679,1.215981,LEGIT,0
1.0,001-01-0000012,0.899084,1.215981,LEGIT,0
1.0,001-01-0000013,0.827836,1.215981,LEGIT,0
1.0,001-01-0000014,0.923921,1.215981,LEGIT,0
1.0,001-01-0000015,1.007737,1.215981,LEGIT,0
1.0,001-01-0000016,0.891575,1.215981,LEGIT,0
1.0,001-01-0000017,0.719557,1.215981,LEGIT,0
1.0,001-01-0000018,0.800276,1.215981,LEGIT,0
1.0,001-01-0000019,0.942759,1.215981,LEGIT,0
1.0,001-01-0000020,0.891258,1.215981,LEGIT,0
1.0,001-01-0000021,0.923475,1.215981,LEGIT,0
1.0,001-01-0000022,0.914956,1.215981,LEGIT,0
1.0,001-01-0000023,0.94902,1.215981,LEGIT,0
1.0,001-01-0000024,0.958888,1.215981,LEGIT,0
1.0,001-01-0000025,0.716511,1.215981,LEGIT,0
