time_sec,ecgi,score,threshold,status,is_fake_gt
1.0,001-01-0000001,1.420412,1.408019,FAKE,1
1.0,001-01-0000002,0.936054,1.408019,LEGIT,0
1.0,001-01-0000003,0.943825,1.408019,LEGIT,0
1.0,001-01-0000004,0.891289,1.408019,LEGIT,0
1.0,001-01-0000005,0.791398,1.408019,LEGIT,0
1.0,001-01-0000006,0.98903,1.408019,LEGIT,0
1.0,001-01-0000007,0.99862,1.408019,LEGIT,0
1.0,001-01-0000008,1.31593,1.408019,LEGIT,0
1.0,001-01-0000009,0.97037,1.408019,LEGIT,0
1.0,001-01-0000010,1.08104,1.408019,LEGIT,0
1.0,001-01-0000011,0.834369,1.408019,LEGIT,0
1.0,001-01-0000012,1.075838,1.408019,LEGIT,0
1.0,001-01-0000013,1.097431,1.408019,LEGIT,0
1.0,001-01-0000014,1.071892,1.408019,LEGIT,0
1.0,001-01-0000015,1.207361,1.408019,LEGIT,0
1.0,001-01-0000016,0.880755,1.408019,LEGIT,0
1.0,001-01-0000017,0.815303,1.408019,LEGIT,0
1.0,001-01-0000018,1.046177,1.408019,LEGIT,0
1.0,001-01-0000019,1.101832,1.408019,LEGIT,0
1.0,001-01-0000020,1.217634,1.408019,LEGIT,0
1.0,001-01-0000021,0.962434,1.408019,LEGIT,0
1.0,001-01-0000022,1.116215,1.408019,LEGIT,0
1.0,001-01-0000023,1.044226,1.408019,LEGIT,0
1.0,001-01-0000024,1.079318,1.408019,LEGIT,0
1.0,001-01-0000025,0.897753,1.408019,LEGIT,0
