folder,recall_old,recall_new,auc_old,auc_new,mean_err_old,mean_err_new
fbs-close-step1,0.0,0.0,0.875,1.0,317.488375,224.50662500000004
fbs-close-step2,0.0,1.0,1.0,1.0,317.046375,217.65962500000006
fbs-close-step3,1.0,1.0,1.0,1.0,314.575375,211.53062500000001
fbs-close-step4,1.0,1.0,1.0,1.0,311.3885,193.387
fbs-close-step5,1.0,1.0,1.0,1.0,320.22875000000005,211.21487500000003
