time_sec,num_measurements,avg_residual,num_cells,num_fake_cells,runtime_ms
3.0,4800,667380.701531,25,1,146088.32
14.0,4875,643650.624053,25,1,145964.7
7.0,4875,647744.192263,25,1,146444.95
11.0,4800,656566.491494,25,0,147795.82
10.0,4875,605266.403313,25,1,147101.92
1.0,4900,636472.819599,25,1,146907.5
13.0,4800,626547.961647,25,1,147559.04
6.0,4750,631972.848582,25,1,147594.39
8.0,4825,655494.526665,25,1,148371.53
16.0,4800,629606.351128,25,1,148497.36
9.0,4750,637533.738417,25,1,148521.54
4.0,4775,666348.302113,25,1,149314.17
2.0,4850,625965.602618,25,1,150187.36
12.0,4850,639066.603332,25,1,150435.21
5.0,4775,647828.157038,25,1,151259.22
15.0,4775,624533.152928,25,1,151987.12
18.0,4775,601284.357593,25,0,138209.61
20.0,4750,607243.483633,25,1,140216.01
24.0,4775,582075.606311,25,1,139413.75
17.0,4725,641590.373653,25,1,143036.45
19.0,4700,629619.597855,25,1,142114.74
21.0,4825,558387.191763,25,1,142205.31
23.0,4825,569880.162581,25,0,142895.85
26.0,4800,561604.505264,25,1,143128.95
22.0,4825,578368.32645,25,1,145702.2
27.0,4800,622811.32605,25,1,144561.79
29.0,4800,585384.687885,25,1,143467.88
31.0,4775,536878.388285,25,1,142581.63
30.0,4775,521235.202091,25,1,144428.51
32.0,4775,607486.056191,25,1,142546.98
25.0,4825,693712.916121,25,1,150694.56
28.0,4850,614920.704481,25,2,152604.7
33.0,4850,604919.480555,25,0,138102.24
35.0,4725,568859.046889,25,1,141350.85
34.0,4800,561938.397345,25,2,140333.96
42.0,4750,569459.466862,25,1,136529.38
38.0,4775,630136.846634,25,1,145740.58
37.0,4850,586962.435414,25,1,146560.65
41.0,4825,538916.775056,25,1,146105.81
36.0,4850,564141.215665,25,1,149187.1
43.0,4825,535600.715849,25,1,145540.7
46.0,4775,554070.837366,25,1,144996.59
47.0,4825,580802.600839,25,1,141763.29
39.0,4900,529888.744599,25,1,151524.17
40.0,4775,536539.817355,25,0,150248.43
44.0,4800,541718.424453,25,0,148780.71
45.0,4800,496882.249867,25,0,148373.17
48.0,4825,601424.318468,25,0,145434.09
49.0,4775,514322.132623,25,1,100239.72
52.0,4800,532294.120786,25,0,96950.45
55.0,4750,487636.135181,25,1,91331.48
51.0,4675,587094.739159,25,0,102038.11
56.0,4750,545895.739564,25,1,94328.06
50.0,4850,512007.252378,25,2,104293.46
53.0,4800,543239.525552,25,0,99019.93
54.0,4850,540190.911127,25,2,99866.74
59.0,4875,497170.498557,25,0,94544.35
58.0,4775,513873.23872,25,2,95348.5
57.0,4875,583996.505348,25,3,96501.8
