time_sec,ecgi,residual,status
60.0000,001-01-0000001,16.7371,NORMAL
60.0000,001-01-0000002,6.0781,NORMAL
60.0000,001-01-0000003,6.6619,NORMAL
60.0000,001-01-0000004,6.2907,NORMAL
60.0000,001-01-0000005,6.0861,NORMAL
60.0000,001-01-0000006,6.2563,NORMAL
60.0000,001-01-0000007,6.5115,NORMAL
60.0000,001-01-0000008,6.5326,NORMAL
60.0000,001-01-0000009,6.3946,NORMAL
60.0000,001-01-0000010,6.0888,NORMAL
60.0000,001-01-0000011,6.7362,NORMAL
60.0000,001-01-0000012,6.2992,NORMAL
60.0000,001-01-0000013,6.2607,NORMAL
60.0000,001-01-0000014,6.5569,NORMAL
60.0000,001-01-0000015,6.4894,NORMAL
60.0000,001-01-0000016,6.5353,NORMAL
60.0000,001-01-0000017,6.1303,NORMAL
60.0000,001-01-0000018,6.4613,NORMAL
60.0000,001-01-0000019,6.2220,NORMAL
60.0000,001-01-0000020,6.2922,NORMAL
60.0000,001-01-0000021,6.9568,NORMAL
60.0000,001-01-0000022,6.5108,NORMAL
60.0000,001-01-0000023,6.7297,NORMAL
60.0000,001-01-0000024,6.0047,NORMAL
60.0000,001-01-0000025,6.6449,NORMAL
