time_sec,ecgi,score,threshold,status,is_fake_gt
9.0,001-01-0000018,0.460752,0.63022,LEGIT,0
9.0,001-01-0000019,0.572834,0.63022,LEGIT,0
9.0,001-01-0000020,0.538905,0.63022,LEGIT,0
9.0,001-01-0000021,0.517278,0.63022,LEGIT,0
9.0,001-01-0000022,0.559435,0.63022,LEGIT,0
9.0,001-01-0000023,0.534504,0.63022,LEGIT,0
9.0,001-01-0000024,0.55747,0.63022,LEGIT,0
9.0,001-01-0000025,0.561141,0.63022,LEGIT,0
6.0,001-01-0000001,1.252118,0.65159,FAKE,1
6.0,001-01-0000002,0.547767,0.65159,LEGIT,0
6.0,001-01-0000003,0.523663,0.65159,LEGIT,0
6.0,001-01-0000004,0.503277,0.65159,LEGIT,0
6.0,001-01-0000005,0.527784,0.65159,LEGIT,0
6.0,001-01-0000006,0.516161,0.65159,LEGIT,0
6.0,001-01-0000007,0.550869,0.65159,LEGIT,0
6.0,001-01-0000008,0.529213,0.65159,LEGIT,0
6.0,001-01-0000009,0.590285,0.65159,LEGIT,0
6.0,001-01-0000010,0.574794,0.65159,LEGIT,0
6.0,001-01-0000011,0.548578,0.65159,LEGIT,0
6.0,001-01-0000012,0.520713,0.65159,LEGIT,0
6.0,001-01-0000013,0.581068,0.65159,LEGIT,0
6.0,001-01-0000014,0.571996,0.65159,LEGIT,0
6.0,001-01-0000015,0.528209,0.65159,LEGIT,0
6.0,001-01-0000016,0.543111,0.65159,LEGIT,0
6.0,001-01-0000017,0.595131,0.65159,LEGIT,0
6.0,001-01-0000018,0.539348,0.65159,LEGIT,0
6.0,001-01-0000019,0.539418,0.65159,LEGIT,0
6.0,001-01-0000020,0.543709,0.65159,LEGIT,0
6.0,001-01-0000021,0.588277,0.65159,LEGIT,0
6.0,001-01-0000022,0.57111,0.65159,LEGIT,0
6.0,001-01-0000023,0.530644,0.65159,LEGIT,0
6.0,001-01-0000024,0.562121,0.65159,LEGIT,0
6.0,001-01-0000025,0.595775,0.65159,LEGIT,0
15.0,001-01-0000001,1.297604,0.643641,FAKE,1
15.0,001-01-0000002,0.525556,0.643641,LEGIT,0
15.0,001-01-0000003,0.517181,0.643641,LEGIT,0
15.0,001-01-0000004,0.46565,0.643641,LEGIT,0
15.0,001-01-0000005,0.557299,0.643641,LEGIT,0
15.0,001-01-0000006,0.484886,0.643641,LEGIT,0
15.0,001-01-0000007,0.490059,0.643641,LEGIT,0
15.0,001-01-0000008,0.601544,0.643641,LEGIT,0
15.0,001-01-0000009,0.592756,0.643641,LEGIT,0
15.0,001-01-0000010,0.556217,0.643641,LEGIT,0
15.0,001-01-0000011,0.513656,0.643641,LEGIT,0
15.0,001-01-0000012,0.519199,0.643641,LEGIT,0
15.0,001-01-0000013,0.551243,0.643641,LEGIT,0
15.0,001-01-0000014,0.509362,0.643641,LEGIT,0
15.0,001-01-0000015,0.538599,0.643641,LEGIT,0
15.0,001-01-0000016,0.608602,0.643641,LEGIT,0
15.0,001-01-0000017,0.541874,0.643641,LEGIT,0
15.0,001-01-0000018,0.591788,0.643641,LEGIT,0
15.0,001-01-0000019,0.542041,0.643641,LEGIT,0
15.0,001-01-0000020,0.544044,0.643641,LEGIT,0
15.0,001-01-0000021,0.541453,0.643641,LEGIT,0
15.0,001-01-0000022,0.564142,0.643641,LEGIT,0
15.0,001-01-0000023,0.563379,0.643641,LEGIT,0
15.0,001-01-0000024,0.569682,0.643641,LEGIT,0
15.0,001-01-0000025,0.519559,0.643641,LEGIT,0
16.0,001-01-0000001,1.291434,0.668039,FAKE,1
16.0,001-01-0000002,0.544439,0.668039,LEGIT,0
16.0,001-01-0000003,0.57566,0.668039,LEGIT,0
16.0,001-01-0000004,0.539431,0.668039,LEGIT,0
16.0,001-01-0000005,0.532318,0.668039,LEGIT,0
16.0,001-01-0000006,0.492926,0.668039,LEGIT,0
16.0,001-01-0000007,0.525335,0.668039,LEGIT,0
16.0,001-01-0000008,0.480777,0.668039,LEGIT,0
16.0,001-01-0000009,0.523154,0.668039,LEGIT,0
16.0,001-01-0000010,0.572593,0.668039,LEGIT,0
16.0,001-01-0000011,0.522463,0.668039,LEGIT,0
16.0,001-01-0000012,0.620079,0.668039,LEGIT,0
16.0,001-01-0000013,0.584213,0.668039,LEGIT,0
16.0,001-01-0000014,0.5928,0.668039,LEGIT,0
16.0,001-01-0000015,0.55153,0.668039,LEGIT,0
16.0,001-01-0000016,0.494017,0.668039,LEGIT,0
16.0,001-01-0000017,0.566493,0.668039,LEGIT,0
16.0,001-01-0000018,0.589432,0.668039,LEGIT,0
16.0,001-01-0000019,0.634615,0.668039,LEGIT,0
16.0,001-01-0000020,0.511431,0.668039,LEGIT,0
16.0,001-01-0000021,0.526219,0.668039,LEGIT,0
16.0,001-01-0000022,0.565441,0.668039,LEGIT,0
16.0,001-01-0000023,0.551703,0.668039,LEGIT,0
16.0,001-01-0000024,0.563459,0.668039,LEGIT,0
16.0,001-01-0000025,0.548384,0.668039,LEGIT,0
4.0,001-01-0000001,1.327186,0.688219,FAKE,1
4.0,001-01-0000002,0.54796,0.688219,LEGIT,0
4.0,001-01-0000003,0.601795,0.688219,LEGIT,0
4.0,001-01-0000004,0.581896,0.688219,LEGIT,0
4.0,001-01-0000005,0.527052,0.688219,LEGIT,0
4.0,001-01-0000006,0.580851,0.688219,LEGIT,0
4.0,001-01-0000007,0.584156,0.688219,LEGIT,0
4.0,001-01-0000008,0.582288,0.688219,LEGIT,0
4.0,001-01-0000009,0.591993,0.688219,LEGIT,0
4.0,001-01-0000010,0.506825,0.688219,LEGIT,0
4.0,001-01-0000011,0.50493,0.688219,LEGIT,0
4.0,001-01-0000012,0.512662,0.688219,LEGIT,0
4.0,001-01-0000013,0.553766,0.688219,LEGIT,0
4.0,001-01-0000014,0.535758,0.688219,LEGIT,0
4.0,001-01-0000015,0.517668,0.688219,LEGIT,0
4.0,001-01-0000016,0.515109,0.688219,LEGIT,0
4.0,001-01-0000017,0.573706,0.688219,LEGIT,0
4.0,001-01-0000018,0.607252,0.688219,LEGIT,0
4.0,001-01-0000019,0.553789,0.688219,LEGIT,0
4.0,001-01-0000020,0.543488,0.688219,LEGIT,0
4.0,001-01-0000021,0.590584,0.688219,LEGIT,0
4.0,001-01-0000022,0.500702,0.688219,LEGIT,0
4.0,001-01-0000023,0.59452,0.688219,LEGIT,0
4.0,001-01-0000024,0.589174,0.688219,LEGIT,0
4.0,001-01-0000025,0.584668,0.688219,LEGIT,0
2.0,001-01-0000001,1.22537,0.651684,FAKE,1
