time_sec,ecgi,score,threshold,status,is_fake_gt
1.0,001-01-0000001,1.902561,1.175069,FAKE,1
1.0,001-01-0000002,0.771188,1.175069,LEGIT,0
1.0,001-01-0000003,0.775717,1.175069,LEGIT,0
1.0,001-01-0000004,0.684506,1.175069,LEGIT,0
1.0,001-01-0000005,0.782879,1.175069,LEGIT,0
1.0,001-01-0000006,0.870553,1.175069,LEGIT,0
1.0,001-01-0000007,0.86931,1.175069,LEGIT,0
1.0,001-01-0000008,0.975487,1.175069,LEGIT,0
1.0,001-01-0000009,0.665141,1.175069,LEGIT,0
1.0,001-01-0000010,0.900957,1.175069,LEGIT,0
1.0,001-01-0000011,0.765105,1.175069,LEGIT,0
1.0,001-01-0000012,0.865017,1.175069,LEGIT,0
1.0,001-01-0000013,0.862248,1.175069,LEGIT,0
1.0,001-01-0000014,0.935766,1.175069,LEGIT,0
1.0,001-01-0000015,1.025613,1.175069,LEGIT,0
1.0,001-01-0000016,0.906912,1.175069,LEGIT,0
1.0,001-01-0000017,0.730012,1.175069,LEGIT,0
1.0,001-01-0000018,0.811302,1.175069,LEGIT,0
1.0,001-01-0000019,0.937887,1.175069,LEGIT,0
1.0,001-01-0000020,0.89622,1.175069,LEGIT,0
1.0,001-01-0000021,0.913197,1.175069,LEGIT,0
1.0,001-01-0000022,0.939018,1.175069,LEGIT,0
1.0,001-01-0000023,0.922268,1.175069,LEGIT,0
1.0,001-01-0000024,0.94414,1.175069,LEGIT,0
1.0,001-01-0000025,0.711164,1.175069,LEGIT,0
