time_sec,num_measurements,avg_residual,num_cells,num_fake_cells,runtime_ms
3.0,4100,712064.915179,25,1,138942.33
7.0,4125,689222.108247,25,1,140050.61
9.0,4225,675857.1782,25,1,141846.96
13.0,4175,674439.749583,25,1,141224.64
15.0,4175,681856.922824,25,1,141697.18
16.0,4325,675091.297017,25,1,142274.76
12.0,4325,684649.562482,25,1,142776.81
6.0,4300,673015.125699,25,1,143381.01
14.0,4275,692403.679078,25,1,143643.51
2.0,4150,639514.035706,25,2,142758.12
4.0,4100,709679.555418,25,1,144136.26
10.0,4200,645680.349094,25,1,144029.95
5.0,4300,685725.952953,25,1,145405.12
1.0,4250,680986.610627,25,1,145576.06
8.0,4275,691178.907271,25,1,145973.23
11.0,4375,709716.70185,25,1,147337.82
20.0,4025,672026.788788,25,1,133556.29
18.0,4200,649105.700918,25,1,136296.79
26.0,4125,601801.242641,25,1,137375.2
17.0,4375,671625.390139,25,1,141304.44
23.0,4100,582370.443587,25,1,137999.36
19.0,4175,665275.010678,25,1,140331.06
27.0,4100,657466.357658,25,1,137723.55
32.0,4075,650094.628263,25,1,133642.22
25.0,4075,762126.201718,25,1,139209.62
24.0,4300,622839.479264,25,1,139833.91
29.0,4150,631066.82234,25,1,137957.53
22.0,4275,629987.20934,25,1,141490.6
30.0,4175,550969.163613,25,1,138629.89
31.0,4250,557643.030975,25,1,139760.17
28.0,4225,666822.453522,25,2,144465.45
21.0,4450,593187.863161,25,1,155943.12
33.0,4175,636162.837286,25,1,138145.77
34.0,4125,590343.601768,25,1,138560.64
35.0,4225,606860.868534,25,1,135416.9
42.0,4150,596729.697664,25,1,134082.35
39.0,4125,575273.530627,25,1,135742.38
41.0,4150,568275.493457,25,1,135732.69
46.0,4000,583238.484281,25,1,132826.39
43.0,4200,573571.372341,25,1,137244.39
37.0,4300,634613.209161,25,1,141125.42
36.0,4225,569822.087674,25,2,140317.4
38.0,4225,664352.727955,25,1,142165.3
44.0,4250,570510.195792,25,1,140256.9
45.0,4450,516755.599936,25,1,143536.24
47.0,4075,628561.990159,25,1,140307.77
40.0,4200,564411.269445,25,1,147696.73
48.0,4350,645842.951369,25,1,140408.09
59.0,4175,547688.353942,25,1,95835.66
49.0,4325,544194.361218,25,1,106463.01
52.0,4275,578316.010554,25,1,102879.07
53.0,4225,566352.420426,25,1,102323.46
57.0,4250,574234.048865,25,1,98619.18
51.0,4300,630033.621511,25,1,104235.0
55.0,4350,507674.461265,25,1,101713.14
50.0,4225,551349.666835,25,2,105450.6
54.0,4350,573303.218164,25,2,101934.34
56.0,4275,562808.994546,25,1,99946.57
58.0,4150,539154.307081,25,3,98794.73
