time_sec,imsi,true_x,true_y,true_z,est_x,est_y,est_z,error_m
3.0,98,244.92,2008.55,2.0,-434.32,1635.66,2.0,774.86
3.0,100,833.27,314.67,2.0,708.59,32.27,2.0,308.7
3.0,101,524.15,1112.95,2.0,617.11,1193.93,2.0,123.29
3.0,102,-68.0,961.11,2.0,-3.07,909.86,2.0,82.71
3.0,103,1738.18,1679.46,2.0,1188.65,2090.66,2.0,686.35
3.0,104,1845.31,864.39,2.0,1832.33,652.87,2.0,211.92
3.0,105,594.05,1055.31,2.0,256.07,844.6,2.0,398.28
3.0,106,1224.96,2216.54,2.0,1643.09,2500.0,2.0,505.15
3.0,108,1914.26,39.71,2.0,1634.84,-500.0,2.0,607.75
3.0,109,1644.57,-56.14,2.0,1905.17,-254.84,2.0,327.71
3.0,110,1510.07,2063.0,2.0,1319.69,2160.18,2.0,213.75
3.0,111,1726.75,577.06,2.0,1512.05,414.71,2.0,269.18
3.0,112,2112.01,2090.25,2.0,2212.63,2431.55,2.0,355.83
3.0,114,-113.93,1764.6,2.0,-300.73,2107.85,2.0,390.79
3.0,115,1536.38,1119.29,2.0,1826.59,1119.68,2.0,290.21
3.0,116,1879.26,168.51,2.0,1903.47,260.43,2.0,95.05
3.0,117,2062.99,1090.84,2.0,2065.29,1074.77,2.0,16.23
3.0,118,1487.57,1788.92,2.0,1699.58,1890.49,2.0,235.08
3.0,119,431.44,1459.6,2.0,224.03,2291.29,2.0,857.16
3.0,121,2068.53,668.33,2.0,2097.58,599.71,2.0,74.52
3.0,122,553.28,1804.42,2.0,835.73,1650.89,2.0,321.48
3.0,123,1774.46,1230.65,2.0,2415.3,596.23,2.0,901.76
3.0,124,375.32,2185.84,2.0,346.68,1979.31,2.0,208.51
3.0,125,587.25,1399.32,2.0,630.08,1386.25,2.0,44.78
3.0,127,573.0,2200.63,2.0,283.9,2357.57,2.0,328.96
3.0,128,27.45,409.87,2.0,-254.74,70.37,2.0,441.47
3.0,129,1124.97,1360.3,2.0,961.39,1349.74,2.0,163.93
3.0,130,2151.01,2133.69,2.0,2500.0,2125.45,2.0,349.09
3.0,131,1870.05,-65.69,2.0,1561.01,-473.58,2.0,511.75
3.0,133,470.12,1797.02,2.0,154.45,1576.54,2.0,385.04
3.0,135,253.56,803.92,2.0,-26.53,847.0,2.0,283.38
3.0,136,1890.59,975.01,2.0,1812.5,859.69,2.0,139.27
3.0,137,76.17,-28.1,2.0,189.89,-341.73,2.0,333.62
3.0,138,-203.66,1959.82,2.0,-298.39,1361.93,2.0,605.35
3.0,139,1601.88,1967.51,2.0,1880.38,2202.36,2.0,364.31
3.0,140,1321.15,386.82,2.0,1132.38,233.8,2.0,243.01
3.0,141,1860.21,1169.51,2.0,2500.0,1228.71,2.0,642.53
