time_sec,ecgi,residual,status
60.0000,001-01-0000001,18.6119,NORMAL
60.0000,001-01-0000002,6.2247,NORMAL
60.0000,001-01-0000003,6.2752,NORMAL
60.0000,001-01-0000004,6.0779,NORMAL
60.0000,001-01-0000005,6.3859,NORMAL
60.0000,001-01-0000006,6.2550,NORMAL
60.0000,001-01-0000007,6.8009,NORMAL
60.0000,001-01-0000008,6.4411,NORMAL
60.0000,001-01-0000009,6.4124,NORMAL
60.0000,001-01-0000010,6.6922,NORMAL
60.0000,001-01-0000011,5.9857,NORMAL
60.0000,001-01-0000012,6.4241,NORMAL
60.0000,001-01-0000013,6.4157,NORMAL
60.0000,001-01-0000014,6.4265,NORMAL
60.0000,001-01-0000015,6.5947,NORMAL
60.0000,001-01-0000016,6.0730,NORMAL
60.0000,001-01-0000017,6.6875,NORMAL
60.0000,001-01-0000018,6.1426,NORMAL
60.0000,001-01-0000019,6.6670,NORMAL
60.0000,001-01-0000020,6.5122,NORMAL
60.0000,001-01-0000021,6.6404,NORMAL
60.0000,001-01-0000022,6.4994,NORMAL
60.0000,001-01-0000023,6.6624,NORMAL
60.0000,001-01-0000024,6.4601,NORMAL
60.0000,001-01-0000025,6.6532,NORMAL
