time_sec,ecgi,residual,status
60.0000,001-01-0000001,15.1685,NORMAL
60.0000,001-01-0000002,6.2136,NORMAL
60.0000,001-01-0000003,6.5670,NORMAL
60.0000,001-01-0000004,6.3987,NORMAL
60.0000,001-01-0000005,6.4397,NORMAL
60.0000,001-01-0000006,6.2804,NORMAL
60.0000,001-01-0000007,6.0713,NORMAL
60.0000,001-01-0000008,6.0600,NORMAL
60.0000,001-01-0000009,6.3093,NORMAL
60.0000,001-01-0000010,6.3754,NORMAL
60.0000,001-01-0000011,6.5091,NORMAL
60.0000,001-01-0000012,6.3243,NORMAL
60.0000,001-01-0000013,6.4566,NORMAL
60.0000,001-01-0000014,6.5807,NORMAL
60.0000,001-01-0000015,6.4760,NORMAL
60.0000,001-01-0000016,6.2129,NORMAL
60.0000,001-01-0000017,6.6649,NORMAL
60.0000,001-01-0000018,6.2903,NORMAL
60.0000,001-01-0000019,5.9977,NORMAL
60.0000,001-01-0000020,6.2940,NORMAL
60.0000,001-01-0000021,6.5336,NORMAL
60.0000,001-01-0000022,6.1806,NORMAL
60.0000,001-01-0000023,6.6151,NORMAL
60.0000,001-01-0000024,6.8086,NORMAL
60.0000,001-01-0000025,6.2981,NORMAL
