time_sec,ecgi,residual,status
60.0000,001-01-0000001,9.5767,NORMAL
60.0000,001-01-0000002,6.4050,NORMAL
60.0000,001-01-0000003,5.9643,NORMAL
60.0000,001-01-0000004,6.4494,NORMAL
60.0000,001-01-0000005,6.6427,NORMAL
60.0000,001-01-0000006,6.5754,NORMAL
60.0000,001-01-0000007,6.7134,NORMAL
60.0000,001-01-0000008,6.4503,NORMAL
60.0000,001-01-0000009,6.5573,NORMAL
60.0000,001-01-0000010,6.5737,NORMAL
60.0000,001-01-0000011,6.6250,NORMAL
60.0000,001-01-0000012,6.1425,NORMAL
60.0000,001-01-0000013,6.4721,NORMAL
60.0000,001-01-0000014,6.0535,NORMAL
60.0000,001-01-0000015,6.3261,NORMAL
60.0000,001-01-0000016,6.0838,NORMAL
60.0000,001-01-0000017,6.4165,NORMAL
60.0000,001-01-0000018,6.4311,NORMAL
60.0000,001-01-0000019,6.4330,NORMAL
60.0000,001-01-0000020,6.4039,NORMAL
60.0000,001-01-0000021,6.2332,NORMAL
60.0000,001-01-0000022,6.3678,NORMAL
60.0000,001-01-0000023,5.8137,NORMAL
60.0000,001-01-0000024,6.4845,NORMAL
60.0000,001-01-0000025,6.2830,NORMAL
