time_sec,num_measurements,avg_residual,num_cells,num_fake_cells,runtime_ms
14.0,4850,647377.378847,25,1,142108.48
13.0,4775,632154.306087,25,1,142429.95
3.0,4725,675576.851464,25,1,143766.72
15.0,4775,628060.486511,25,1,143251.13
7.0,4775,649722.896628,25,1,143515.8
2.0,4800,627981.426276,25,1,144179.36
16.0,4775,634424.192676,25,1,144607.15
11.0,4750,658608.100648,25,1,145467.98
9.0,4725,642733.900629,25,1,146809.51
5.0,4675,651081.552164,25,1,146264.93
12.0,4850,642724.198641,25,1,146633.52
1.0,4875,639921.496935,25,1,146819.69
6.0,4750,635255.132354,25,1,147507.14
10.0,4825,599566.040628,25,1,148632.05
4.0,4725,672179.878732,25,1,149278.89
8.0,4800,657487.490315,25,1,149298.68
17.0,4675,646356.260149,25,1,136658.58
24.0,4700,584665.655517,25,1,135141.65
23.0,4725,571357.423236,25,1,137863.08
20.0,4725,610298.228197,25,1,139486.57
19.0,4675,636095.385396,25,1,140591.29
21.0,4800,562072.793658,25,1,140341.7
18.0,4750,605632.234823,25,1,143668.14
25.0,4725,693074.040144,25,1,141577.62
22.0,4750,584388.958325,25,1,142950.58
26.0,4750,567701.531884,25,1,141176.06
27.0,4725,626245.391947,25,1,141140.67
32.0,4675,614631.397491,25,1,138623.2
29.0,4775,588333.374897,25,1,142252.87
31.0,4750,537367.180603,25,1,144408.58
30.0,4750,525406.822436,25,1,145558.02
28.0,4825,620939.350978,25,2,147146.57
34.0,4750,562789.209684,25,2,140930.4
33.0,4800,606887.144466,25,1,144424.21
38.0,4700,636910.374634,25,1,141571.82
35.0,4700,570647.879269,25,1,144284.15
43.0,4800,539868.962352,25,1,142043.71
42.0,4750,572054.032328,25,1,141461.62
41.0,4750,540622.466385,25,1,143498.71
37.0,4750,594951.736292,25,1,147738.17
36.0,4825,565614.393548,25,1,148776.13
39.0,4875,534715.262597,25,1,146268.33
40.0,4775,539602.764328,25,1,145931.46
45.0,4800,499888.260526,25,0,144721.9
48.0,4775,604150.21509,25,1,139695.29
44.0,4700,541392.627481,25,1,147376.83
46.0,4775,557848.392958,25,1,143704.21
47.0,4725,582887.037702,25,1,146240.59
49.0,4775,517599.375982,25,1,114138.98
50.0,4825,514874.503522,25,2,114617.51
51.0,4625,589824.049389,25,1,112566.55
55.0,4700,489068.363415,25,1,109269.32
58.0,4750,517113.258868,25,2,106120.6
52.0,4775,537204.686008,25,1,113230.38
54.0,4775,544469.385781,25,2,111000.74
53.0,4725,548242.695106,25,1,112014.94
56.0,4725,550931.0302,25,1,109242.45
59.0,4800,502797.099208,25,1,107828.1
57.0,4775,579471.440276,25,3,108206.13
