time_sec,imsi,ue_x,ue_y,ue_z,serving_ecgi,rsrp_dbm,rsrq_db,snr_db,timing_advance
1.000,12,-35.315,129.634,2.000,001-01-0000001,-41.035,15.020,12.393,2
1.000,13,846.596,136.552,2.000,001-01-0000001,-46.110,15.507,12.889,9
1.000,16,836.367,1321.721,2.000,001-01-0000001,-63.341,2.892,-0.458,18
1.000,22,-187.095,829.251,2.000,001-01-0000001,-63.801,10.447,2.822,10
1.000,28,655.045,319.745,2.000,001-01-0000001,-55.554,8.714,-2.891,7
1.000,31,-193.474,345.773,2.000,001-01-0000001,-39.269,13.209,15.241,5
1.000,33,276.880,80.043,2.000,001-01-0000001,-51.001,13.751,1.139,2
1.000,40,401.003,342.762,2.000,001-01-0000001,-35.637,15.205,16.426,4
1.000,42,-31.369,194.832,2.000,001-01-0000001,-47.574,15.523,4.576,2
1.000,47,217.795,-41.145,2.000,001-01-0000001,-48.656,10.642,5.128,3
1.000,57,1224.606,231.631,2.000,001-01-0000001,-58.320,11.977,-0.064,14
1.000,59,774.327,-238.919,2.000,001-01-0000001,-54.766,10.850,1.619,9
1.000,61,-116.791,609.156,2.000,001-01-0000001,-59.568,8.245,-0.541,7
1.000,72,30.792,277.219,2.000,001-01-0000001,-33.278,15.213,16.262,2
1.000,79,-229.856,515.719,2.000,001-01-0000001,-65.899,6.432,-1.778,7
1.000,84,1103.147,1693.732,2.000,001-01-0000001,-58.867,10.080,3.670,23
1.000,87,204.402,166.887,2.000,001-01-0000001,-31.620,17.545,23.830,1
1.000,89,-116.786,340.153,2.000,001-01-0000001,-48.067,11.477,-0.264,4
1.000,97,59.150,674.338,2.000,001-01-0000001,-51.247,11.058,2.623,7
1.000,132,715.047,72.377,2.000,001-01-0000001,-52.981,14.128,9.271,7
1.000,134,124.474,392.937,2.000,001-01-0000001,-46.025,11.709,8.963,3
1.000,137,58.340,-50.663,2.000,001-01-0000001,-38.909,14.699,27.107,3
1.000,144,-205.930,81.907,2.000,001-01-0000001,-41.274,16.650,27.414,5
1.000,148,832.959,813.336,2.000,001-01-0000001,-53.239,13.441,3.277,12
1.000,164,245.623,570.064,2.000,001-01-0000001,-36.606,11.617,10.183,6
1.000,172,224.138,288.367,2.000,001-01-0000001,-37.597,14.082,8.956,2
1.000,190,359.736,46.935,2.000,001-01-0000001,-34.340,15.592,14.547,3
1.000,197,1050.590,690.873,2.000,001-01-0000001,-61.411,8.837,-4.038,14
