timestamp,ue_id,estimated_ue_x,estimated_ue_y,estimated_ue_z,ue_x,ue_y,ue_z,rsrp_observed,ecgi,anomaly_score_wi
16.0,1,-294.43,1334.84,2.0,-123.03,1657.11,2.0,-79.604,001-01-0000001,0.294579
16.0,2,1366.06,418.0,2.0,1365.92,774.4,2.0,-78.469,001-01-0000001,0.417289
16.0,3,1931.27,1792.26,2.0,1558.71,1700.83,2.0,-73.774,001-01-0000001,0.970413
16.0,4,1035.13,266.46,2.0,1252.78,414.85,2.0,-75.494,001-01-0000001,0.300757
16.0,5,286.13,3.11,2.0,146.96,686.58,2.0,-66.089,001-01-0000001,0.108836
16.0,6,2135.15,1024.06,2.0,2096.07,798.22,2.0,-88.445,001-01-0000001,0.303047
16.0,7,1833.57,2031.66,2.0,1861.73,1788.84,2.0,-84.748,001-01-0000001,0.682919
16.0,8,1291.85,711.45,2.0,1474.36,678.24,2.0,-82.398,001-01-0000001,0.198187
16.0,9,448.72,1074.67,2.0,444.97,804.01,2.0,-56.943,001-01-0000001,0.990103
16.0,10,1108.27,2072.56,2.0,833.45,2031.9,2.0,-88.322,001-01-0000001,0.303051
16.0,11,1036.02,1707.06,2.0,1791.19,1040.06,2.0,-83.157,001-01-0000001,0.468874
16.0,12,-146.65,437.92,2.0,15.71,145.62,2.0,-43.588,001-01-0000001,0.982673
16.0,14,-500.0,876.56,2.0,35.38,1206.84,2.0,-83.263,001-01-0000001,0.006144
16.0,15,2018.99,1065.7,2.0,1911.5,1356.55,2.0,-90.546,001-01-0000001,0.141908
16.0,16,836.98,1165.15,2.0,873.36,1283.11,2.0,-66.887,001-01-0000001,0.932136
16.0,17,112.06,841.48,2.0,-137.68,463.42,2.0,-62.267,001-01-0000001,0.831165
16.0,18,28.81,1887.46,2.0,51.21,1796.96,2.0,-83.224,001-01-0000001,0.403609
16.0,19,279.27,1256.21,2.0,320.73,1150.71,2.0,-77.814,001-01-0000001,0.347382
16.0,20,1284.12,509.12,2.0,1296.86,451.6,2.0,-76.128,001-01-0000001,0.534271
16.0,21,1221.02,45.83,2.0,1229.02,66.46,2.0,-73.119,001-01-0000001,0.596257
16.0,22,-307.14,1328.19,2.0,-107.08,874.3,2.0,-75.488,001-01-0000001,0.560846
16.0,24,26.89,1265.35,2.0,196.35,1210.27,2.0,-71.587,001-01-0000001,0.712208
16.0,25,2132.74,2041.23,2.0,2041.69,1707.55,2.0,-91.437,001-01-0000001,0.34298
16.0,26,189.38,2277.77,2.0,427.43,2048.55,2.0,-83.97,001-01-0000001,0.558067
16.0,27,-68.41,-380.78,2.0,107.58,-37.63,2.0,-44.701,001-01-0000001,0.945046
16.0,29,2240.45,1684.72,2.0,1971.1,1706.56,2.0,-88.016,001-01-0000001,0.513011
16.0,30,1348.26,-256.18,2.0,1457.97,17.45,2.0,-70.926,001-01-0000001,0.800743
16.0,31,-151.23,748.93,2.0,-168.73,362.08,2.0,-57.12,001-01-0000001,0.922727
16.0,32,2461.04,1920.95,2.0,1963.57,2043.72,2.0,-89.111,001-01-0000001,0.554994
16.0,34,845.83,1473.06,2.0,839.42,1365.73,2.0,-81.275,001-01-0000001,0.418663
16.0,35,1822.79,1437.51,2.0,1666.21,1304.23,2.0,-92.061,001-01-0000001,0.083166
16.0,36,454.63,2040.64,2.0,234.96,2014.16,2.0,-72.863,001-01-0000001,0.935066
16.0,37,257.37,358.18,2.0,629.47,439.33,2.0,-56.885,001-01-0000001,0.572914
16.0,39,1732.77,1748.69,2.0,1801.17,1617.53,2.0,-82.073,001-01-0000001,0.730616
16.0,40,590.56,327.39,2.0,482.01,520.76,2.0,-44.557,001-01-0000001,0.997134
16.0,41,1003.65,-358.33,2.0,812.28,44.9,2.0,-56.759,001-01-0000001,0.98505
16.0,43,1966.99,791.12,2.0,1910.07,924.54,2.0,-86.111,001-01-0000001,0.337719
16.0,44,-104.77,952.33,2.0,462.2,1143.24,2.0,-69.231,001-01-0000001,0.591356
16.0,45,1469.56,265.98,2.0,1498.54,200.16,2.0,-82.153,001-01-0000001,0.225061
16.0,46,2500.0,1700.31,2.0,2114.33,1842.99,2.0,-85.91,001-01-0000001,0.706921
16.0,47,409.46,-220.24,2.0,239.27,7.62,2.0,-55.092,001-01-0000001,0.720092
16.0,49,2061.81,1677.72,2.0,1895.41,1577.62,2.0,-88.852,001-01-0000001,0.400991
16.0,50,565.01,-184.07,2.0,579.56,1.49,2.0,-63.652,001-01-0000001,0.450692
16.0,51,1710.34,39.53,2.0,1715.29,209.04,2.0,-75.656,001-01-0000001,0.75279
16.0,53,528.66,158.47,2.0,793.03,75.94,2.0,-65.342,001-01-0000001,0.260266
16.0,54,1031.11,251.47,2.0,978.59,357.07,2.0,-63.161,001-01-0000001,0.908794
16.0,55,431.77,1198.73,2.0,388.05,1327.58,2.0,-68.776,001-01-0000001,0.83527
16.0,56,2500.0,-371.71,2.0,2094.81,187.62,2.0,-89.186,001-01-0000001,0.324182
16.0,57,1094.12,233.85,2.0,1167.65,188.81,2.0,-78.575,001-01-0000001,0.159364
16.0,58,501.72,1761.7,2.0,440.13,1901.95,2.0,-78.399,001-01-0000001,0.671917
16.0,59,1080.19,-301.45,2.0,814.19,-221.93,2.0,-71.87,001-01-0000001,0.5872
16.0,60,1317.53,267.09,2.0,1347.29,500.59,2.0,-76.816,001-01-0000001,0.461057
16.0,61,-221.32,199.86,2.0,-40.07,612.62,2.0,-62.888,001-01-0000001,0.001495
16.0,62,667.28,1298.98,2.0,721.03,1410.92,2.0,-79.573,001-01-0000001,0.367661
16.0,63,943.61,2226.47,2.0,1126.44,1794.8,2.0,-97.892,001-01-0000001,0.011303
16.0,64,293.7,-138.49,2.0,590.23,-92.94,2.0,-62.138,001-01-0000001,0.016021
16.0,65,2047.32,2309.26,2.0,1811.8,2014.78,2.0,-77.598,001-01-0000001,0.957894
16.0,67,1163.07,1585.81,2.0,1407.67,1507.89,2.0,-87.102,001-01-0000001,0.19787
16.0,68,648.44,751.68,2.0,453.99,829.64,2.0,-62.641,001-01-0000001,0.895583
16.0,69,995.13,1231.88,2.0,946.84,1614.6,2.0,-77.913,001-01-0000001,0.562157
16.0,70,2007.86,1673.72,2.0,1738.42,1830.1,2.0,-91.45,001-01-0000001,0.215561
16.0,72,13.35,-86.75,2.0,31.76,469.62,2.0,-69.564,001-01-0000001,0.986282
16.0,73,464.31,1588.2,2.0,405.01,1588.72,2.0,-77.753,001-01-0000001,0.614939
16.0,74,820.97,-178.49,2.0,848.09,422.39,2.0,-70.657,001-01-0000001,0.360503
16.0,75,1638.18,2456.95,2.0,1814.38,2209.15,2.0,-90.915,001-01-0000001,0.377972
16.0,76,108.63,1672.03,2.0,619.71,1897.21,2.0,-77.728,001-01-0000001,0.628253
16.0,77,1220.89,-218.51,2.0,1600.58,176.67,2.0,-83.172,001-01-0000001,0.035515
16.0,78,1620.46,1931.31,2.0,1396.49,1845.75,2.0,-82.008,001-01-0000001,0.751819
16.0,79,-500.0,171.28,2.0,-219.55,404.66,2.0,-60.221,001-01-0000001,0.548855
16.0,80,2500.0,174.08,2.0,2089.18,309.14,2.0,-88.339,001-01-0000001,0.371066
16.0,81,553.55,997.69,2.0,921.29,1123.88,2.0,-75.524,001-01-0000001,0.369006
16.0,82,845.18,1912.02,2.0,1096.26,1425.17,2.0,-77.932,001-01-0000001,0.795382
16.0,83,1879.21,1874.51,2.0,1944.74,1609.37,2.0,-90.122,001-01-0000001,0.31521
16.0,84,508.26,1786.88,2.0,1095.15,1509.41,2.0,-75.249,001-01-0000001,0.824136
16.0,85,1059.21,1799.26,2.0,994.3,1956.52,2.0,-84.391,001-01-0000001,0.435458
16.0,86,1973.66,-166.99,2.0,1985.38,-10.85,2.0,-88.622,001-01-0000001,0.121878
16.0,88,1260.28,1624.5,2.0,1008.9,1858.97,2.0,-75.389,001-01-0000001,0.872861
16.0,89,-75.73,333.73,2.0,46.93,494.2,2.0,-48.935,001-01-0000001,0.773879
16.0,90,1379.02,1574.66,2.0,1550.14,1605.59,2.0,-90.97,001-01-0000001,0.059704
16.0,91,532.48,428.77,2.0,565.62,489.94,2.0,-64.585,001-01-0000001,0.538329
16.0,92,69.16,1502.44,2.0,-7.22,1556.43,2.0,-82.875,001-01-0000001,0.189089
16.0,93,1374.56,1084.21,2.0,1520.45,986.23,2.0,-85.093,001-01-0000001,0.204352
16.0,94,549.73,1581.58,2.0,735.21,1425.25,2.0,-70.662,001-01-0000001,0.90751
16.0,95,633.27,2129.77,2.0,754.6,1785.67,2.0,-83.587,001-01-0000001,0.553179
16.0,96,626.52,1816.68,2.0,641.04,1570.27,2.0,-76.849,001-01-0000001,0.783467
16.0,97,230.38,185.05,2.0,131.77,682.68,2.0,-69.376,001-01-0000001,0.264552
16.0,98,694.65,2118.35,2.0,436.88,2042.14,2.0,-79.44,001-01-0000001,0.776472
16.0,99,473.47,768.54,2.0,776.38,936.02,2.0,-59.512,001-01-0000001,0.928839
16.0,100,802.5,252.0,2.0,816.09,508.11,2.0,-61.793,001-01-0000001,0.842225
16.0,101,512.71,1151.65,2.0,452.92,1209.96,2.0,-63.106,001-01-0000001,0.956408
16.0,102,-172.52,863.12,2.0,41.34,960.04,2.0,-65.921,001-01-0000001,0.698962
16.0,103,1505.61,1738.39,2.0,1621.55,1613.87,2.0,-99.373,001-01-0000001,0.078226
16.0,104,1822.01,917.22,2.0,1824.81,894.77,2.0,-77.295,001-01-0000001,0.80471
16.0,105,255.51,1206.89,2.0,638.1,1237.42,2.0,-64.635,001-01-0000001,0.928391
16.0,106,984.82,2276.05,2.0,1147.46,2120.23,2.0,-88.129,001-01-0000001,0.373675
16.0,108,1620.82,165.73,2.0,1815.18,156.68,2.0,-77.448,001-01-0000001,0.617996
16.0,109,1196.0,-86.63,2.0,1611.35,-49.85,2.0,-81.445,001-01-0000001,0.076213
16.0,110,1079.71,2210.18,2.0,1527.6,2028.77,2.0,-84.279,001-01-0000001,0.611861
16.0,111,1880.0,426.22,2.0,1616.14,625.7,2.0,-66.121,001-01-0000001,0.986481
16.0,112,2132.54,1646.09,2.0,1971.14,1990.9,2.0,-91.581,001-01-0000001,0.23755
16.0,113,647.99,60.49,2.0,566.76,177.33,2.0,-51.44,001-01-0000001,0.965913
16.0,114,-500.0,2260.11,2.0,-64.41,1706.14,2.0,-86.843,001-01-0000001,0.384354
16.0,115,2021.04,690.95,2.0,1455.99,1056.25,2.0,-86.449,001-01-0000001,0.323416
16.0,116,1518.96,-436.36,2.0,1873.27,195.33,2.0,-77.405,001-01-0000001,0.591114
16.0,117,2339.51,1475.85,2.0,1957.61,1124.47,2.0,-71.986,001-01-0000001,0.986616
