time_sec,num_measurements,avg_residual,num_cells,num_fake_cells,runtime_ms
16.0,4575,648913.185811,25,1,158103.38
1.0,4650,649637.814756,25,1,158636.08
13.0,4650,649228.09747,25,1,158394.18
5.0,4575,654999.812929,25,1,159312.38
14.0,4725,658575.688573,25,1,159678.29
4.0,4625,681505.732003,25,1,159297.19
3.0,4575,679959.449584,25,1,159247.69
10.0,4700,613416.361431,25,1,159798.04
9.0,4625,652303.301563,25,1,160088.01
15.0,4650,639882.436115,25,1,160318.36
6.0,4700,646087.718842,25,1,161080.22
7.0,4650,656472.599248,25,1,162663.5
12.0,4675,649164.033202,25,1,163191.86
2.0,4700,633845.994006,25,1,163880.63
11.0,4725,669090.828036,25,1,164425.8
8.0,4750,671204.970905,25,1,169382.37
20.0,4525,626845.038654,25,1,151572.35
26.0,4650,577658.845349,25,1,150323.23
23.0,4625,575140.823583,25,1,154146.95
17.0,4575,651909.10229,25,2,156807.72
18.0,4625,617177.200862,25,1,158204.56
22.0,4675,595946.326524,25,1,157419.41
19.0,4600,647264.225266,25,1,158404.19
24.0,4675,592293.354008,25,1,158747.87
25.0,4575,718676.001183,25,1,158306.1
27.0,4625,637271.504042,25,1,158412.61
32.0,4525,634204.087299,25,1,151100.21
30.0,4600,526788.967505,25,1,156582.94
28.0,4700,634291.998924,25,2,157562.9
21.0,4700,570324.749923,25,1,162983.21
31.0,4625,532399.536734,25,1,156995.5
29.0,4675,599123.8673,25,2,159956.27
35.0,4625,578242.317488,25,1,145321.61
41.0,4550,552839.3408,25,1,148558.67
33.0,4675,622538.765715,25,1,157304.57
36.0,4775,574702.894042,25,1,155333.04
34.0,4625,573191.210686,25,3,156989.95
42.0,4625,583698.912995,25,1,151432.36
39.0,4725,535785.207207,25,1,153822.6
37.0,4650,600293.167744,25,1,154457.57
38.0,4600,652488.598314,25,1,153949.61
47.0,4600,596956.886672,25,1,149648.73
44.0,4600,547457.085987,25,1,151670.08
40.0,4700,544908.419419,25,1,157531.19
43.0,4650,549471.961953,25,1,155677.94
48.0,4650,619610.912052,25,1,153193.87
45.0,4725,506145.451946,25,1,155852.58
46.0,4600,567306.145778,25,1,155954.61
49.0,4650,518091.663175,25,1,114803.81
53.0,4525,546791.681456,25,1,106531.66
57.0,4675,578081.734588,25,3,108312.07
51.0,4575,597241.578262,25,1,111170.26
55.0,4575,491059.895943,25,1,109300.56
56.0,4675,546000.566658,25,1,109876.33
52.0,4675,545316.8476,25,1,110398.69
58.0,4675,519219.194089,25,1,108143.54
59.0,4750,512350.235141,25,1,106859.95
54.0,4650,541646.033313,25,2,110293.58
50.0,4700,521563.633831,25,2,113647.89
