time_sec,imsi,ue_x,ue_y,ue_z,serving_ecgi,rsrp_dbm,rsrq_db,snr_db,timing_advance
1.000,13,846.596,136.552,2.000,001-01-0000001,-50.713,14.459,8.287,7
1.000,28,655.045,319.745,2.000,001-01-0000001,-55.029,9.020,-2.366,4
1.000,40,401.003,342.762,2.000,001-01-0000001,-13.465,15.308,38.598,1
1.000,52,406.707,331.911,2.000,001-01-0000001,-45.593,12.252,5.799,1
1.000,57,1224.606,231.631,2.000,001-01-0000001,-63.864,8.504,-5.608,11
1.000,97,59.150,674.338,2.000,001-01-0000001,-56.755,9.038,-2.884,6
1.000,132,715.047,72.377,2.000,001-01-0000001,-58.186,11.756,4.066,6
1.000,134,124.474,392.937,2.000,001-01-0000001,-53.696,9.590,1.292,3
1.000,144,-205.930,81.907,2.000,001-01-0000001,-59.549,16.165,9.139,8
1.000,148,832.959,813.336,2.000,001-01-0000001,-56.155,12.897,0.361,9
1.000,164,245.623,570.064,2.000,001-01-0000001,-35.797,11.652,10.992,3
1.000,172,224.138,288.367,2.000,001-01-0000001,-44.110,12.502,2.442,2
1.000,190,359.736,46.935,2.000,001-01-0000001,-47.485,13.508,1.403,4
1.000,199,465.953,468.599,2.000,001-01-0000001,-32.982,14.036,-0.263,2
2.000,14,0.802,1255.949,2.000,001-01-0000001,-56.405,8.209,-3.120,12
2.000,28,654.622,320.842,2.000,001-01-0000001,-47.152,14.801,5.818,4
2.000,40,406.404,354.629,2.000,001-01-0000001,-21.437,11.779,19.106,1
2.000,47,219.227,-37.894,2.000,001-01-0000001,-52.557,12.010,2.554,5
2.000,52,405.616,331.769,2.000,001-01-0000001,-29.581,14.466,19.215,1
2.000,61,-111.676,609.387,2.000,001-01-0000001,-58.929,13.836,-2.353,7
2.000,68,337.881,891.733,2.000,001-01-0000001,-54.610,12.591,5.915,7
2.000,72,30.856,290.045,2.000,001-01-0000001,-53.870,12.869,9.983,4
2.000,107,236.232,510.671,2.000,001-01-0000001,-40.274,11.878,12.323,3
2.000,155,306.586,682.132,2.000,001-01-0000001,-52.105,12.114,2.467,4
2.000,172,233.016,294.433,2.000,001-01-0000001,-28.335,10.621,23.382,2
2.000,190,366.971,49.431,2.000,001-01-0000001,-47.457,13.444,6.364,4
3.000,12,-28.512,131.765,2.000,001-01-0000001,-45.919,12.006,15.885,6
3.000,14,3.272,1252.441,2.000,001-01-0000001,-49.171,15.410,2.096,12
3.000,28,654.199,321.939,2.000,001-01-0000001,-51.108,10.954,4.337,4
3.000,33,284.988,81.914,2.000,001-01-0000001,-50.820,10.144,-0.793,4
3.000,40,411.804,366.496,2.000,001-01-0000001,-36.707,11.549,19.985,1
3.000,47,220.658,-34.643,2.000,001-01-0000001,-43.696,15.011,7.172,5
3.000,52,404.524,331.627,2.000,001-01-0000001,-31.244,12.548,24.829,1
3.000,53,804.007,26.385,2.000,001-01-0000001,-49.890,12.969,10.357,7
3.000,61,-106.561,609.617,2.000,001-01-0000001,-50.506,10.005,2.285,7
3.000,87,222.414,186.296,2.000,001-01-0000001,-52.176,11.542,4.789,3
3.000,91,557.839,475.569,2.000,001-01-0000001,-39.483,11.963,2.589,3
3.000,97,68.833,675.450,2.000,001-01-0000001,-54.471,10.604,3.036,6
3.000,107,244.203,511.711,2.000,001-01-0000001,-49.843,9.215,-1.308,2
3.000,134,132.094,398.188,2.000,001-01-0000001,-47.464,12.785,0.157,3
3.000,147,513.084,350.314,2.000,001-01-0000001,-38.538,12.658,22.304,2
3.000,155,312.284,686.671,2.000,001-01-0000001,-61.700,4.192,-5.692,4
3.000,172,241.894,300.500,2.000,001-01-0000001,-37.417,15.970,22.293,2
4.000,24,171.303,1217.122,2.000,001-01-0000001,-59.310,13.412,-0.959,11
4.000,31,-188.526,349.035,2.000,001-01-0000001,-55.764,10.830,9.315,7
4.000,40,417.204,378.362,2.000,001-01-0000001,-15.237,13.642,28.357,1
4.000,47,222.090,-31.393,2.000,001-01-0000001,-52.431,13.781,1.485,5
4.000,48,712.288,809.294,2.000,001-01-0000001,-46.417,13.752,4.891,7
4.000,52,403.433,331.484,2.000,001-01-0000001,-27.572,12.727,29.266,1
4.000,55,226.079,1340.131,2.000,001-01-0000001,-61.201,10.368,-4.455,13
4.000,87,231.420,196.000,2.000,001-01-0000001,-46.472,15.076,5.799,3
4.000,107,252.175,512.750,2.000,001-01-0000001,-47.884,11.127,3.610,2
4.000,132,734.744,73.592,2.000,001-01-0000001,-52.594,10.262,4.183,6
4.000,134,135.905,400.813,2.000,001-01-0000001,-34.867,10.853,17.082,3
4.000,147,501.274,347.857,2.000,001-01-0000001,-38.647,11.255,6.773,2
4.000,164,278.779,564.495,2.000,001-01-0000001,-44.832,13.183,2.286,3
4.000,172,250.772,306.566,2.000,001-01-0000001,-26.841,16.262,40.000,1
4.000,190,381.441,54.422,2.000,001-01-0000001,-53.141,13.047,-1.740,4
5.000,12,-21.709,133.896,2.000,001-01-0000001,-47.639,13.498,18.472,6
5.000,17,-176.415,445.439,2.000,001-01-0000001,-56.166,11.211,-5.169,7
5.000,31,-186.877,350.123,2.000,001-01-0000001,-51.657,12.411,7.021,7
5.000,40,422.604,390.229,2.000,001-01-0000001,-31.789,14.506,23.804,1
5.000,47,223.522,-28.142,2.000,001-01-0000001,-52.237,14.969,6.959,5
5.000,52,402.342,331.342,2.000,001-01-0000001,-29.558,14.676,27.034,1
5.000,59,784.957,-234.389,2.000,001-01-0000001,-59.453,11.182,-0.901,9
5.000,66,892.804,793.047,2.000,001-01-0000001,-59.934,12.748,0.039,9
5.000,87,240.425,205.704,2.000,001-01-0000001,-44.023,13.245,10.236,2
5.000,99,647.116,838.174,2.000,001-01-0000001,-52.512,17.182,-1.190,7
5.000,107,260.147,513.789,2.000,001-01-0000001,-45.075,15.210,4.268,2
5.000,113,510.478,181.814,2.000,001-01-0000001,-41.446,16.065,8.827,3
5.000,147,489.465,345.400,2.000,001-01-0000001,-40.388,14.255,6.489,2
5.000,164,289.831,562.638,2.000,001-01-0000001,-38.427,15.234,21.872,3
5.000,172,259.650,312.632,2.000,001-01-0000001,-39.593,14.335,14.294,1
5.000,189,-122.078,-164.857,2.000,001-01-0000001,-57.868,8.369,1.987,9
5.000,197,1047.370,703.881,2.000,001-01-0000001,-60.287,6.175,1.681,10
6.000,9,523.599,698.344,2.000,001-01-0000001,-57.212,14.617,-2.968,5
6.000,40,428.004,402.096,2.000,001-01-0000001,-42.992,12.864,5.694,1
6.000,52,401.250,331.200,2.000,001-01-0000001,-30.980,13.450,21.301,1
6.000,87,249.431,215.409,2.000,001-01-0000001,-46.943,19.475,11.154,2
6.000,100,829.308,359.307,2.000,001-01-0000001,-49.297,13.597,8.699,6
6.000,107,268.119,514.829,2.000,001-01-0000001,-41.814,13.777,17.522,2
6.000,113,515.595,181.406,2.000,001-01-0000001,-50.207,10.220,7.991,3
6.000,128,54.281,406.453,2.000,001-01-0000001,-42.794,12.683,18.619,4
6.000,147,477.655,342.943,2.000,001-01-0000001,-32.934,12.954,20.849,2
6.000,156,78.152,851.754,2.000,001-01-0000001,-60.151,7.102,-2.645,7
6.000,172,268.528,318.698,2.000,001-01-0000001,-36.402,7.948,18.529,1
6.000,193,-132.277,504.511,2.000,001-01-0000001,-46.698,13.381,-2.848,7
7.000,27,60.978,-75.905,2.000,001-01-0000001,-56.155,11.601,3.023,7
7.000,28,652.506,326.326,2.000,001-01-0000001,-58.527,10.488,-6.517,4
7.000,33,301.204,85.656,2.000,001-01-0000001,-50.302,11.241,2.164,3
7.000,52,400.159,331.058,2.000,001-01-0000001,-19.133,15.326,33.117,1
7.000,64,586.934,-103.734,2.000,001-01-0000001,-54.101,10.876,5.354,7
7.000,87,258.437,225.113,2.000,001-01-0000001,-50.036,13.098,5.309,2
7.000,100,827.986,374.187,2.000,001-01-0000001,-51.722,11.217,-2.349,6
7.000,107,276.091,515.868,2.000,001-01-0000001,-50.074,11.500,5.802,2
7.000,144,-160.037,110.334,2.000,001-01-0000001,-50.524,12.733,4.905,7
7.000,147,465.845,340.486,2.000,001-01-0000001,-36.146,11.051,28.790,1
7.000,155,335.079,704.831,2.000,001-01-0000001,-55.329,8.150,0.440,5
7.000,156,89.847,846.607,2.000,001-01-0000001,-59.057,9.736,-4.798,7
7.000,172,277.406,324.764,2.000,001-01-0000001,-32.504,14.073,19.349,1
7.000,189,-98.920,-163.570,2.000,001-01-0000001,-68.176,14.077,-2.058,9
8.000,40,438.805,425.830,2.000,001-01-0000001,-27.102,13.476,9.882,1
8.000,52,399.067,330.915,2.000,001-01-0000001,-18.865,12.902,38.744,1
8.000,107,284.062,516.907,2.000,001-01-0000001,-38.319,10.252,11.732,2
8.000,134,151.146,411.314,2.000,001-01-0000001,-50.119,12.088,8.191,3
8.000,138,-195.007,1943.353,2.000,001-01-0000001,-60.114,10.797,6.680,22
8.000,147,454.036,338.029,2.000,001-01-0000001,-34.727,13.436,22.307,1
8.000,155,340.778,709.371,2.000,001-01-0000001,-59.038,10.693,0.728,5
8.000,164,322.987,557.068,2.000,001-01-0000001,-50.301,9.511,6.524,3
8.000,172,286.284,330.830,2.000,001-01-0000001,-45.190,11.237,1.895,1
8.000,190,410.381,64.405,2.000,001-01-0000001,-57.650,8.163,-2.546,4
9.000,9,500.011,730.043,2.000,001-01-0000001,-53.379,13.557,2.696,5
9.000,38,805.357,177.217,2.000,001-01-0000001,-62.325,8.380,1.012,6
9.000,40,444.205,437.697,2.000,001-01-0000001,-35.368,14.181,10.442,2
9.000,52,397.976,330.773,2.000,001-01-0000001,-24.418,16.108,32.142,1
9.000,71,478.538,722.875,2.000,001-01-0000001,-52.193,12.775,-2.846,5
9.000,72,31.306,379.830,2.000,001-01-0000001,-50.893,10.236,0.121,4
9.000,87,276.449,244.522,2.000,001-01-0000001,-29.375,16.511,33.824,2
9.000,91,561.430,482.201,2.000,001-01-0000001,-46.219,12.911,6.934,3
9.000,107,292.034,517.947,2.000,001-01-0000001,-46.063,13.576,8.610,2
9.000,113,530.946,180.183,2.000,001-01-0000001,-46.451,17.098,9.799,3
9.000,134,154.956,413.939,2.000,001-01-0000001,-44.558,13.107,11.215,3
9.000,147,442.226,335.572,2.000,001-01-0000001,-35.660,19.875,17.199,1
9.000,164,334.038,555.212,2.000,001-01-0000001,-49.532,11.577,15.718,3
9.000,172,295.162,336.897,2.000,001-01-0000001,-40.101,12.743,3.336,1
9.000,189,-75.763,-162.284,2.000,001-01-0000001,-66.511,10.179,-1.555,9
10.000,52,396.885,330.631,2.000,001-01-0000001,-27.735,11.281,15.274,1
10.000,59,798.244,-228.725,2.000,001-01-0000001,-60.036,11.466,-3.889,9
10.000,68,404.229,856.253,2.000,001-01-0000001,-50.603,11.734,6.078,6
10.000,72,31.371,392.657,2.000,001-01-0000001,-53.026,11.031,4.433,4
10.000,87,285.455,254.226,2.000,001-01-0000001,-47.803,12.931,15.916,2
10.000,97,102.721,679.344,2.000,001-01-0000001,-59.901,6.767,-5.767,5
10.000,100,824.019,418.826,2.000,001-01-0000001,-58.925,8.741,2.019,6
10.000,107,300.006,518.986,2.000,001-01-0000001,-48.512,13.030,8.725,2
10.000,147,430.417,333.115,2.000,001-01-0000001,-49.656,10.699,8.552,1
10.000,148,812.545,841.675,2.000,001-01-0000001,-55.572,7.643,3.402,9
10.000,172,304.040,342.963,2.000,001-01-0000001,-23.297,11.747,31.291,1
10.000,198,1058.738,1180.061,2.000,001-01-0000001,-59.081,7.960,-1.233,14
11.000,9,484.286,751.176,2.000,001-01-0000001,-38.947,14.420,11.140,5
11.000,33,317.420,89.397,2.000,001-01-0000001,-52.210,13.675,6.789,3
11.000,38,778.629,170.373,2.000,001-01-0000001,-52.006,11.251,1.035,6
11.000,52,395.793,330.489,2.000,001-01-0000001,-28.474,13.256,26.242,1
11.000,68,412.522,851.818,2.000,001-01-0000001,-52.825,12.699,-0.215,6
11.000,87,294.461,263.930,2.000,001-01-0000001,-34.347,16.046,16.013,1
11.000,107,307.978,520.026,2.000,001-01-0000001,-56.107,14.170,2.848,2
11.000,113,541.180,179.367,2.000,001-01-0000001,-46.473,15.304,3.760,3
11.000,134,162.576,419.190,2.000,001-01-0000001,-44.592,9.390,1.760,3
11.000,147,418.607,330.658,2.000,001-01-0000001,-46.439,17.454,8.040,1
11.000,172,312.918,349.029,2.000,001-01-0000001,-11.438,14.824,40.000,1
12.000,5,124.425,632.993,2.000,001-01-0000001,-51.449,13.117,-1.013,5
12.000,28,650.390,331.810,2.000,001-01-0000001,-62.921,8.007,-4.206,4
12.000,31,-175.331,357.735,2.000,001-01-0000001,-61.970,9.418,1.555,7
12.000,33,321.474,90.333,2.000,001-01-0000001,-52.192,12.243,3.048,3
12.000,47,233.543,-5.387,2.000,001-01-0000001,-51.224,10.216,5.502,5
12.000,52,394.702,330.346,2.000,001-01-0000001,-33.844,13.106,-1.726,1
12.000,87,303.466,273.635,2.000,001-01-0000001,-20.676,14.153,36.749,1
12.000,100,821.375,448.586,2.000,001-01-0000001,-43.937,14.939,5.426,6
12.000,107,315.950,521.065,2.000,001-01-0000001,-43.251,13.238,12.043,2
12.000,113,546.297,178.959,2.000,001-01-0000001,-40.763,14.180,6.401,3
12.000,135,331.483,891.965,2.000,001-01-0000001,-62.706,10.339,-9.471,7
12.000,147,406.797,328.201,2.000,001-01-0000001,-30.842,11.012,16.061,1
12.000,172,321.796,355.095,2.000,001-01-0000001,-32.039,13.864,23.439,0
13.000,5,130.058,646.389,2.000,001-01-0000001,-63.739,10.154,-5.034,5
13.000,27,92.049,-50.390,2.000,001-01-0000001,-49.378,16.722,17.258,6
13.000,33,325.528,91.268,2.000,001-01-0000001,-58.189,12.639,4.235,3
13.000,38,751.900,163.530,2.000,001-01-0000001,-47.809,12.311,3.974,6
13.000,48,753.728,847.930,2.000,001-01-0000001,-57.889,13.354,-1.866,8
13.000,52,393.610,330.204,2.000,001-01-0000001,-37.066,10.778,4.916,1
13.000,87,312.472,283.339,2.000,001-01-0000001,-29.647,15.254,28.855,1
13.000,100,820.053,463.465,2.000,001-01-0000001,-53.203,11.627,-0.834,6
13.000,107,323.921,522.104,2.000,001-01-0000001,-37.469,13.152,8.703,2
13.000,113,551.414,178.552,2.000,001-01-0000001,-44.701,11.619,3.465,3
13.000,128,116.897,398.477,2.000,001-01-0000001,-47.789,14.818,4.833,3
13.000,147,394.988,325.744,2.000,001-01-0000001,-25.321,13.286,31.948,1
13.000,164,378.246,547.786,2.000,001-01-0000001,-47.236,11.148,6.668,3
13.000,172,330.674,361.161,2.000,001-01-0000001,-22.505,15.839,37.820,0
14.000,12,8.904,143.485,2.000,001-01-0000001,-52.541,14.938,18.700,5
14.000,13,852.040,280.520,2.000,001-01-0000001,-56.301,12.404,-7.099,6
14.000,42,40.479,245.369,2.000,001-01-0000001,-59.826,11.784,-0.551,4
14.000,52,392.519,330.062,2.000,001-01-0000001,-34.457,16.541,10.737,1
14.000,55,361.055,1329.674,2.000,001-01-0000001,-54.795,13.171,2.801,12
14.000,60,1362.409,504.890,2.000,001-01-0000001,-55.455,9.078,-4.050,13
14.000,87,321.478,293.043,2.000,001-01-0000001,-26.221,13.462,26.715,1
14.000,144,-106.496,143.499,2.000,001-01-0000001,-57.159,11.891,3.734,6
14.000,147,383.178,323.287,2.000,001-01-0000001,-30.766,13.034,27.067,1
14.000,164,389.298,545.929,2.000,001-01-0000001,-43.567,11.016,6.698,3
14.000,172,339.552,367.227,2.000,001-01-0000001,-17.950,11.325,40.000,0
15.000,5,141.323,673.183,2.000,001-01-0000001,-54.946,12.897,9.656,5
15.000,42,46.006,249.257,2.000,001-01-0000001,-55.227,13.672,-1.725,4
15.000,52,391.428,329.919,2.000,001-01-0000001,-22.581,13.321,23.604,1
15.000,57,1171.447,191.660,2.000,001-01-0000001,-58.529,9.036,3.844,11
15.000,87,330.484,302.748,2.000,001-01-0000001,-31.364,15.170,15.728,1
15.000,107,339.865,524.183,2.000,001-01-0000001,-44.108,12.703,7.376,2
15.000,120,681.788,97.283,2.000,001-01-0000001,-58.603,8.420,10.840,5
15.000,135,357.457,921.312,2.000,001-01-0000001,-58.947,8.452,1.478,7
15.000,137,183.142,107.302,2.000,001-01-0000001,-61.234,12.803,-2.838,4
15.000,147,371.368,320.831,2.000,001-01-0000001,-43.186,14.794,14.394,0
15.000,155,380.670,741.150,2.000,001-01-0000001,-56.243,7.830,0.622,5
15.000,164,400.350,544.073,2.000,001-01-0000001,-43.879,11.369,5.140,3
