time_sec,imsi,estimated_ue_x,estimated_ue_y,estimated_ue_z,ue_x,ue_y,ue_z,ecgi,cell_role,rsrp_dbm,timing_advance
1.0,4,1316.48,451.27,2.0,1433.31,474.67,2.0,001-01-0000013,N,-73.0,9
1.0,4,1316.48,451.27,2.0,1433.31,474.67,2.0,001-01-0000014,N,-86.777,7
1.0,4,1316.48,451.27,2.0,1433.31,474.67,2.0,001-01-0000015,N,-70.166,10
1.0,4,1316.48,451.27,2.0,1433.31,474.67,2.0,001-01-0000016,N,-95.441,23
1.0,4,1316.48,451.27,2.0,1433.31,474.67,2.0,001-01-0000017,N,-77.755,18
1.0,4,1316.48,451.27,2.0,1433.31,474.67,2.0,001-01-0000018,N,-85.063,14
1.0,4,1316.48,451.27,2.0,1433.31,474.67,2.0,001-01-0000019,N,-85.543,13
1.0,4,1316.48,451.27,2.0,1433.31,474.67,2.0,001-01-0000020,N,-95.018,15
1.0,4,1316.48,451.27,2.0,1433.31,474.67,2.0,001-01-0000021,N,-100.287,27
1.0,4,1316.48,451.27,2.0,1433.31,474.67,2.0,001-01-0000022,N,-88.214,23
1.0,4,1316.48,451.27,2.0,1433.31,474.67,2.0,001-01-0000023,N,-100.093,20
1.0,4,1316.48,451.27,2.0,1433.31,474.67,2.0,001-01-0000024,N,-104.937,20
1.0,4,1316.48,451.27,2.0,1433.31,474.67,2.0,001-01-0000025,N,-96.912,21
1.0,5,-16.2,480.06,2.0,62.47,485.63,2.0,001-01-0000001,N,-35.602,4
1.0,5,-16.2,480.06,2.0,62.47,485.63,2.0,001-01-0000002,N,-64.556,8
1.0,5,-16.2,480.06,2.0,62.47,485.63,2.0,001-01-0000003,N,-79.402,14
1.0,5,-16.2,480.06,2.0,62.47,485.63,2.0,001-01-0000004,N,-89.541,19
1.0,5,-16.2,480.06,2.0,62.47,485.63,2.0,001-01-0000005,N,-111.133,26
1.0,5,-16.2,480.06,2.0,62.47,485.63,2.0,001-01-0000006,S,-27.109,1
1.0,5,-16.2,480.06,2.0,62.47,485.63,2.0,001-01-0000007,N,-53.67,6
1.0,5,-16.2,480.06,2.0,62.47,485.63,2.0,001-01-0000008,N,-67.549,12
1.0,5,-16.2,480.06,2.0,62.47,485.63,2.0,001-01-0000009,N,-92.951,18
1.0,5,-16.2,480.06,2.0,62.47,485.63,2.0,001-01-0000010,N,-89.84,25
1.0,5,-16.2,480.06,2.0,62.47,485.63,2.0,001-01-0000011,N,-67.443,7
1.0,5,-16.2,480.06,2.0,62.47,485.63,2.0,001-01-0000012,N,-87.918,9
1.0,5,-16.2,480.06,2.0,62.47,485.63,2.0,001-01-0000013,N,-81.755,14
1.0,5,-16.2,480.06,2.0,62.47,485.63,2.0,001-01-0000014,N,-80.444,20
1.0,5,-16.2,480.06,2.0,62.47,485.63,2.0,001-01-0000015,N,-87.342,26
1.0,5,-16.2,480.06,2.0,62.47,485.63,2.0,001-01-0000016,N,-91.257,13
1.0,5,-16.2,480.06,2.0,62.47,485.63,2.0,001-01-0000017,N,-90.631,14
1.0,5,-16.2,480.06,2.0,62.47,485.63,2.0,001-01-0000018,N,-81.052,18
1.0,5,-16.2,480.06,2.0,62.47,485.63,2.0,001-01-0000019,N,-86.264,23
1.0,5,-16.2,480.06,2.0,62.47,485.63,2.0,001-01-0000020,N,-112.913,28
1.0,5,-16.2,480.06,2.0,62.47,485.63,2.0,001-01-0000021,N,-108.545,19
1.0,5,-16.2,480.06,2.0,62.47,485.63,2.0,001-01-0000022,N,-90.145,20
1.0,5,-16.2,480.06,2.0,62.47,485.63,2.0,001-01-0000023,N,-96.244,23
1.0,5,-16.2,480.06,2.0,62.47,485.63,2.0,001-01-0000024,N,-96.509,27
1.0,5,-16.2,480.06,2.0,62.47,485.63,2.0,001-01-0000025,N,-100.084,31
1.0,6,2357.76,993.7,2.0,2153.66,762.62,2.0,001-01-0000001,N,-85.953,24
1.0,6,2357.76,993.7,2.0,2153.66,762.62,2.0,001-01-0000002,N,-92.72,23
1.0,6,2357.76,993.7,2.0,2153.66,762.62,2.0,001-01-0000003,N,-80.648,18
1.0,6,2357.76,993.7,2.0,2153.66,762.62,2.0,001-01-0000004,N,-90.707,13
1.0,6,2357.76,993.7,2.0,2153.66,762.62,2.0,001-01-0000005,N,-83.621,10
1.0,6,2357.76,993.7,2.0,2153.66,762.62,2.0,001-01-0000006,N,-102.486,28
1.0,6,2357.76,993.7,2.0,2153.66,762.62,2.0,001-01-0000007,N,-79.024,21
1.0,6,2357.76,993.7,2.0,2153.66,762.62,2.0,001-01-0000008,N,-90.463,15
1.0,6,2357.76,993.7,2.0,2153.66,762.62,2.0,001-01-0000009,N,-77.534,9
1.0,6,2357.76,993.7,2.0,2153.66,762.62,2.0,001-01-0000010,S,-67.522,4
1.0,6,2357.76,993.7,2.0,2153.66,762.62,2.0,001-01-0000011,N,-97.192,28
1.0,6,2357.76,993.7,2.0,2153.66,762.62,2.0,001-01-0000012,N,-96.381,21
1.0,6,2357.76,993.7,2.0,2153.66,762.62,2.0,001-01-0000013,N,-81.074,15
1.0,6,2357.76,993.7,2.0,2153.66,762.62,2.0,001-01-0000014,N,-84.504,9
1.0,6,2357.76,993.7,2.0,2153.66,762.62,2.0,001-01-0000015,N,-72.347,4
1.0,6,2357.76,993.7,2.0,2153.66,762.62,2.0,001-01-0000016,N,-100.001,29
1.0,6,2357.76,993.7,2.0,2153.66,762.62,2.0,001-01-0000017,N,-98.181,23
1.0,6,2357.76,993.7,2.0,2153.66,762.62,2.0,001-01-0000018,N,-97.936,18
1.0,6,2357.76,993.7,2.0,2153.66,762.62,2.0,001-01-0000019,N,-84.451,13
1.0,6,2357.76,993.7,2.0,2153.66,762.62,2.0,001-01-0000020,N,-90.761,10
1.0,6,2357.76,993.7,2.0,2153.66,762.62,2.0,001-01-0000021,N,-83.135,32
1.0,6,2357.76,993.7,2.0,2153.66,762.62,2.0,001-01-0000022,N,-105.886,26
1.0,6,2357.76,993.7,2.0,2153.66,762.62,2.0,001-01-0000023,N,-95.857,22
1.0,6,2357.76,993.7,2.0,2153.66,762.62,2.0,001-01-0000024,N,-90.818,18
1.0,6,2357.76,993.7,2.0,2153.66,762.62,2.0,001-01-0000025,N,-72.228,16
1.0,7,2109.67,1669.24,2.0,1875.03,1819.11,2.0,001-01-0000001,N,-84.726,27
1.0,7,2109.67,1669.24,2.0,1875.03,1819.11,2.0,001-01-0000002,N,-90.396,29
1.0,7,2109.67,1669.24,2.0,1875.03,1819.11,2.0,001-01-0000003,N,-83.874,26
1.0,7,2109.67,1669.24,2.0,1875.03,1819.11,2.0,001-01-0000004,N,-93.364,24
1.0,7,2109.67,1669.24,2.0,1875.03,1819.11,2.0,001-01-0000005,N,-90.886,23
1.0,7,2109.67,1669.24,2.0,1875.03,1819.11,2.0,001-01-0000006,N,-99.5,29
1.0,7,2109.67,1669.24,2.0,1875.03,1819.11,2.0,001-01-0000007,N,-101.814,24
1.0,7,2109.67,1669.24,2.0,1875.03,1819.11,2.0,001-01-0000008,N,-94.42,20
1.0,7,2109.67,1669.24,2.0,1875.03,1819.11,2.0,001-01-0000009,N,-101.814,18
1.0,7,2109.67,1669.24,2.0,1875.03,1819.11,2.0,001-01-0000010,N,-79.381,17
1.0,7,2109.67,1669.24,2.0,1875.03,1819.11,2.0,001-01-0000011,N,-111.191,26
1.0,7,2109.67,1669.24,2.0,1875.03,1819.11,2.0,001-01-0000012,N,-73.525,20
1.0,7,2109.67,1669.24,2.0,1875.03,1819.11,2.0,001-01-0000013,N,-99.174,15
1.0,7,2109.67,1669.24,2.0,1875.03,1819.11,2.0,001-01-0000014,N,-68.402,12
1.0,7,2109.67,1669.24,2.0,1875.03,1819.11,2.0,001-01-0000015,N,-86.3,11
1.0,7,2109.67,1669.24,2.0,1875.03,1819.11,2.0,001-01-0000016,N,-88.111,24
1.0,7,2109.67,1669.24,2.0,1875.03,1819.11,2.0,001-01-0000017,N,-93.751,18
1.0,7,2109.67,1669.24,2.0,1875.03,1819.11,2.0,001-01-0000018,N,-67.555,12
1.0,7,2109.67,1669.24,2.0,1875.03,1819.11,2.0,001-01-0000019,N,-70.2,6
1.0,7,2109.67,1669.24,2.0,1875.03,1819.11,2.0,001-01-0000020,S,-56.06,4
1.0,7,2109.67,1669.24,2.0,1875.03,1819.11,2.0,001-01-0000021,N,-91.834,24
1.0,7,2109.67,1669.24,2.0,1875.03,1819.11,2.0,001-01-0000022,N,-84.619,18
1.0,7,2109.67,1669.24,2.0,1875.03,1819.11,2.0,001-01-0000023,N,-75.338,11
1.0,7,2109.67,1669.24,2.0,1875.03,1819.11,2.0,001-01-0000024,N,-72.047,5
1.0,7,2109.67,1669.24,2.0,1875.03,1819.11,2.0,001-01-0000025,N,-67.696,3
1.0,8,1424.65,555.01,2.0,1424.18,553.63,2.0,001-01-0000001,N,-59.681,14
1.0,8,1424.65,555.01,2.0,1424.18,553.63,2.0,001-01-0000002,N,-83.492,14
1.0,8,1424.65,555.01,2.0,1424.18,553.63,2.0,001-01-0000003,N,-81.162,9
1.0,8,1424.65,555.01,2.0,1424.18,553.63,2.0,001-01-0000004,N,-82.681,7
1.0,8,1424.65,555.01,2.0,1424.18,553.63,2.0,001-01-0000005,N,-68.928,10
1.0,8,1424.65,555.01,2.0,1424.18,553.63,2.0,001-01-0000006,N,-88.218,18
1.0,8,1424.65,555.01,2.0,1424.18,553.63,2.0,001-01-0000007,N,-79.453,12
1.0,8,1424.65,555.01,2.0,1424.18,553.63,2.0,001-01-0000008,N,-60.986,5
