time_sec,imsi,ue_x,ue_y,ue_z,cell_id,ecgi,cell_role,rsrp_dbm,rsrq_db,snr_db,timing_advance
1.000,4,1433.310,474.673,2.000,15,001-01-0000015,N,-70.166,-7.996,-20.073,10
1.000,4,1433.310,474.673,2.000,16,001-01-0000016,N,-95.441,-36.556,-40.000,23
1.000,4,1433.310,474.673,2.000,17,001-01-0000017,N,-77.755,-15.838,-29.375,18
1.000,4,1433.310,474.673,2.000,18,001-01-0000018,N,-85.063,-21.835,-36.747,14
1.000,4,1433.310,474.673,2.000,19,001-01-0000019,N,-85.543,-26.879,-36.794,13
1.000,4,1433.310,474.673,2.000,20,001-01-0000020,N,-95.018,-35.830,-40.000,15
1.000,4,1433.310,474.673,2.000,21,001-01-0000021,N,-100.287,-40.000,-40.000,27
1.000,4,1433.310,474.673,2.000,22,001-01-0000022,N,-88.214,-30.347,-37.888,23
1.000,4,1433.310,474.673,2.000,23,001-01-0000023,N,-100.093,-40.000,-40.000,20
1.000,4,1433.310,474.673,2.000,24,001-01-0000024,N,-104.937,-40.000,-40.000,20
1.000,4,1433.310,474.673,2.000,25,001-01-0000025,N,-96.912,-36.015,-40.000,21
1.000,5,62.465,485.626,2.000,26,001-01-0000001,N,-35.602,5.109,-7.701,4
1.000,5,62.465,485.626,2.000,2,001-01-0000002,N,-64.556,-26.736,-40.000,8
1.000,5,62.465,485.626,2.000,3,001-01-0000003,N,-79.402,-36.651,-40.000,14
1.000,5,62.465,485.626,2.000,4,001-01-0000004,N,-89.541,-40.000,-40.000,19
1.000,5,62.465,485.626,2.000,5,001-01-0000005,N,-111.133,-40.000,-40.000,26
1.000,5,62.465,485.626,2.000,6,001-01-0000006,S,-27.109,15.173,9.902,1
1.000,5,62.465,485.626,2.000,7,001-01-0000007,N,-53.670,-13.055,-26.956,6
1.000,5,62.465,485.626,2.000,8,001-01-0000008,N,-67.549,-29.924,-40.000,12
1.000,5,62.465,485.626,2.000,9,001-01-0000009,N,-92.951,-40.000,-40.000,18
1.000,5,62.465,485.626,2.000,10,001-01-0000010,N,-89.840,-40.000,-40.000,25
1.000,5,62.465,485.626,2.000,11,001-01-0000011,N,-67.443,-26.047,-40.000,7
1.000,5,62.465,485.626,2.000,12,001-01-0000012,N,-87.918,-40.000,-40.000,9
1.000,5,62.465,485.626,2.000,13,001-01-0000013,N,-81.755,-40.000,-40.000,14
1.000,5,62.465,485.626,2.000,14,001-01-0000014,N,-80.444,-40.000,-40.000,20
1.000,5,62.465,485.626,2.000,15,001-01-0000015,N,-87.342,-40.000,-40.000,26
1.000,5,62.465,485.626,2.000,16,001-01-0000016,N,-91.257,-40.000,-40.000,13
1.000,5,62.465,485.626,2.000,17,001-01-0000017,N,-90.631,-40.000,-40.000,14
1.000,5,62.465,485.626,2.000,18,001-01-0000018,N,-81.052,-37.660,-40.000,18
1.000,5,62.465,485.626,2.000,19,001-01-0000019,N,-86.264,-40.000,-40.000,23
1.000,5,62.465,485.626,2.000,20,001-01-0000020,N,-112.913,-40.000,-40.000,28
1.000,5,62.465,485.626,2.000,21,001-01-0000021,N,-108.545,-40.000,-40.000,19
1.000,5,62.465,485.626,2.000,22,001-01-0000022,N,-90.145,-40.000,-40.000,20
1.000,5,62.465,485.626,2.000,23,001-01-0000023,N,-96.244,-40.000,-40.000,23
1.000,5,62.465,485.626,2.000,24,001-01-0000024,N,-96.509,-40.000,-40.000,27
1.000,5,62.465,485.626,2.000,25,001-01-0000025,N,-100.084,-40.000,-40.000,31
1.000,6,2153.655,762.622,2.000,26,001-01-0000001,N,-85.953,-7.321,-18.443,24
1.000,6,2153.655,762.622,2.000,2,001-01-0000002,N,-92.720,-14.991,-31.854,23
1.000,6,2153.655,762.622,2.000,3,001-01-0000003,N,-80.648,-2.516,-11.594,18
1.000,6,2153.655,762.622,2.000,4,001-01-0000004,N,-90.707,-13.590,-22.019,13
1.000,6,2153.655,762.622,2.000,5,001-01-0000005,N,-83.621,-4.756,-15.503,10
