time_sec,ecgi,score,threshold,status,is_fake_gt
1.0,001-01-0000001,2.634369,1.472376,FAKE,1
1.0,001-01-0000002,0.86174,1.472376,LEGIT,0
1.0,001-01-0000003,0.87438,1.472376,LEGIT,0
1.0,001-01-0000004,0.874582,1.472376,LEGIT,0
1.0,001-01-0000005,0.761308,1.472376,LEGIT,0
1.0,001-01-0000006,0.874749,1.472376,LEGIT,0
1.0,001-01-0000007,1.025463,1.472376,LEGIT,0
1.0,001-01-0000008,1.209534,1.472376,LEGIT,0
1.0,001-01-0000009,0.973511,1.472376,LEGIT,0
1.0,001-01-0000010,1.092911,1.472376,LEGIT,0
1.0,001-01-0000011,0.801965,1.472376,LEGIT,0
1.0,001-01-0000012,0.980898,1.472376,LEGIT,0
1.0,001-01-0000013,1.083096,1.472376,LEGIT,0
1.0,001-01-0000014,1.080355,1.472376,LEGIT,0
1.0,001-01-0000015,1.173493,1.472376,LEGIT,0
1.0,001-01-0000016,0.924983,1.472376,LEGIT,0
1.0,001-01-0000017,0.902346,1.472376,LEGIT,0
1.0,001-01-0000018,0.987599,1.472376,LEGIT,0
1.0,001-01-0000019,1.08007,1.472376,LEGIT,0
1.0,001-01-0000020,1.223229,1.472376,LEGIT,0
1.0,001-01-0000021,1.033888,1.472376,LEGIT,0
1.0,001-01-0000022,1.084014,1.472376,LEGIT,0
1.0,001-01-0000023,1.108592,1.472376,LEGIT,0
1.0,001-01-0000024,1.134683,1.472376,LEGIT,0
1.0,001-01-0000025,0.936003,1.472376,LEGIT,0
