time_sec,imsi,ue_x,ue_y,ue_z,cell_id,ecgi,cell_role,rsrp_dbm,rsrq_db,snr_db,timing_advance
1.000,4,1433.310,474.673,2.000,12,001-01-0000012,N,-82.097,-14.342,-34.441,14
1.000,4,1433.310,474.673,2.000,13,001-01-0000013,N,-73.000,-9.674,-20.953,9
1.000,4,1433.310,474.673,2.000,14,001-01-0000014,N,-86.777,-24.708,-36.596,7
1.000,4,1433.310,474.673,2.000,15,001-01-0000015,N,-70.166,-7.570,-19.644,10
1.000,4,1433.310,474.673,2.000,16,001-01-0000016,N,-95.441,-36.130,-40.000,23
1.000,4,1433.310,474.673,2.000,17,001-01-0000017,N,-77.755,-15.412,-28.949,18
1.000,4,1433.310,474.673,2.000,18,001-01-0000018,N,-85.063,-21.409,-36.321,14
1.000,4,1433.310,474.673,2.000,19,001-01-0000019,N,-85.543,-26.453,-36.367,13
1.000,4,1433.310,474.673,2.000,20,001-01-0000020,N,-95.018,-35.403,-40.000,15
1.000,4,1433.310,474.673,2.000,21,001-01-0000021,N,-100.287,-39.743,-40.000,27
1.000,4,1433.310,474.673,2.000,22,001-01-0000022,N,-88.214,-29.921,-37.462,23
1.000,4,1433.310,474.673,2.000,23,001-01-0000023,N,-100.093,-40.000,-40.000,20
1.000,4,1433.310,474.673,2.000,24,001-01-0000024,N,-104.937,-40.000,-40.000,20
1.000,4,1433.310,474.673,2.000,25,001-01-0000025,N,-96.912,-35.588,-40.000,21
1.000,5,62.465,485.626,2.000,26,001-01-0000001,N,-44.867,-3.654,-16.966,5
1.000,5,62.465,485.626,2.000,2,001-01-0000002,N,-64.556,-26.235,-40.000,8
1.000,5,62.465,485.626,2.000,3,001-01-0000003,N,-79.402,-36.149,-40.000,14
1.000,5,62.465,485.626,2.000,4,001-01-0000004,N,-89.541,-40.000,-40.000,19
1.000,5,62.465,485.626,2.000,5,001-01-0000005,N,-111.133,-40.000,-40.000,26
1.000,5,62.465,485.626,2.000,6,001-01-0000006,S,-27.109,15.674,18.620,1
1.000,5,62.465,485.626,2.000,7,001-01-0000007,N,-53.670,-12.553,-26.454,6
1.000,5,62.465,485.626,2.000,8,001-01-0000008,N,-67.549,-29.423,-40.000,12
1.000,5,62.465,485.626,2.000,9,001-01-0000009,N,-92.951,-40.000,-40.000,18
1.000,5,62.465,485.626,2.000,10,001-01-0000010,N,-89.840,-40.000,-40.000,25
1.000,5,62.465,485.626,2.000,11,001-01-0000011,N,-67.443,-25.546,-40.000,7
1.000,5,62.465,485.626,2.000,12,001-01-0000012,N,-87.918,-40.000,-40.000,9
1.000,5,62.465,485.626,2.000,13,001-01-0000013,N,-81.755,-40.000,-40.000,14
1.000,5,62.465,485.626,2.000,14,001-01-0000014,N,-80.444,-39.766,-40.000,20
1.000,5,62.465,485.626,2.000,15,001-01-0000015,N,-87.342,-40.000,-40.000,26
1.000,5,62.465,485.626,2.000,16,001-01-0000016,N,-91.257,-40.000,-40.000,13
1.000,5,62.465,485.626,2.000,17,001-01-0000017,N,-90.631,-40.000,-40.000,14
1.000,5,62.465,485.626,2.000,18,001-01-0000018,N,-81.052,-37.159,-40.000,18
1.000,5,62.465,485.626,2.000,19,001-01-0000019,N,-86.264,-40.000,-40.000,23
1.000,5,62.465,485.626,2.000,20,001-01-0000020,N,-112.913,-40.000,-40.000,28
1.000,5,62.465,485.626,2.000,21,001-01-0000021,N,-108.545,-40.000,-40.000,19
1.000,5,62.465,485.626,2.000,22,001-01-0000022,N,-90.145,-40.000,-40.000,20
1.000,5,62.465,485.626,2.000,23,001-01-0000023,N,-96.244,-40.000,-40.000,23
1.000,5,62.465,485.626,2.000,24,001-01-0000024,N,-96.509,-40.000,-40.000,27
1.000,5,62.465,485.626,2.000,25,001-01-0000025,N,-100.084,-40.000,-40.000,31
1.000,6,2153.655,762.622,2.000,26,001-01-0000001,N,-93.779,-15.122,-26.269,28
1.000,6,2153.655,762.622,2.000,2,001-01-0000002,N,-92.720,-14.966,-31.829,23
1.000,6,2153.655,762.622,2.000,3,001-01-0000003,N,-80.648,-2.490,-11.568,18
1.000,6,2153.655,762.622,2.000,4,001-01-0000004,N,-90.707,-13.565,-21.994,13
1.000,6,2153.655,762.622,2.000,5,001-01-0000005,N,-83.621,-4.731,-15.477,10
1.000,6,2153.655,762.622,2.000,6,001-01-0000006,N,-102.486,-23.675,-39.544,28
1.000,6,2153.655,762.622,2.000,7,001-01-0000007,N,-79.024,2.627,-13.802,21
1.000,6,2153.655,762.622,2.000,8,001-01-0000008,N,-90.463,-11.757,-23.636,15
1.000,6,2153.655,762.622,2.000,9,001-01-0000009,N,-77.534,2.688,-10.485,9
1.000,6,2153.655,762.622,2.000,10,001-01-0000010,S,-67.522,8.150,-2.144,4
1.000,6,2153.655,762.622,2.000,11,001-01-0000011,N,-97.192,-20.132,-35.133,28
1.000,6,2153.655,762.622,2.000,12,001-01-0000012,N,-96.381,-19.752,-33.997,21
1.000,6,2153.655,762.622,2.000,13,001-01-0000013,N,-81.074,-2.028,-15.102,15
1.000,6,2153.655,762.622,2.000,14,001-01-0000014,N,-84.504,-6.134,-21.346,9
1.000,6,2153.655,762.622,2.000,15,001-01-0000015,N,-72.347,8.577,-7.470,4
1.000,6,2153.655,762.622,2.000,16,001-01-0000016,N,-100.001,-19.753,-37.313,29
1.000,6,2153.655,762.622,2.000,17,001-01-0000017,N,-98.181,-18.980,-29.759,23
1.000,6,2153.655,762.622,2.000,18,001-01-0000018,N,-97.936,-24.780,-35.505,18
1.000,6,2153.655,762.622,2.000,19,001-01-0000019,N,-84.451,-4.890,-16.375,13
1.000,6,2153.655,762.622,2.000,20,001-01-0000020,N,-90.761,-11.981,-26.208,10
1.000,6,2153.655,762.622,2.000,21,001-01-0000021,N,-83.135,-1.541,-14.861,32
1.000,6,2153.655,762.622,2.000,22,001-01-0000022,N,-105.886,-29.249,-40.000,26
1.000,6,2153.655,762.622,2.000,23,001-01-0000023,N,-95.857,-16.763,-26.304,22
1.000,6,2153.655,762.622,2.000,24,001-01-0000024,N,-90.818,-10.713,-26.725,18
1.000,6,2153.655,762.622,2.000,25,001-01-0000025,N,-72.228,6.585,-12.704,16
1.000,7,1875.028,1819.112,2.000,1,001-01-0000001,N,-90.033,-21.039,-36.585,33
1.000,7,1875.028,1819.112,2.000,2,001-01-0000002,N,-90.396,-25.796,-33.943,29
1.000,7,1875.028,1819.112,2.000,3,001-01-0000003,N,-83.874,-17.419,-32.437,26
1.000,7,1875.028,1819.112,2.000,4,001-01-0000004,N,-93.364,-24.556,-40.000,24
1.000,7,1875.028,1819.112,2.000,5,001-01-0000005,N,-90.886,-21.749,-30.052,23
1.000,7,1875.028,1819.112,2.000,6,001-01-0000006,N,-99.500,-31.366,-40.000,29
1.000,7,1875.028,1819.112,2.000,7,001-01-0000007,N,-101.814,-32.559,-40.000,24
1.000,7,1875.028,1819.112,2.000,8,001-01-0000008,N,-94.420,-25.481,-38.560,20
1.000,7,1875.028,1819.112,2.000,9,001-01-0000009,N,-101.814,-32.993,-40.000,18
1.000,7,1875.028,1819.112,2.000,10,001-01-0000010,N,-79.381,-10.105,-19.662,17
1.000,7,1875.028,1819.112,2.000,11,001-01-0000011,N,-111.191,-40.000,-40.000,26
1.000,7,1875.028,1819.112,2.000,12,001-01-0000012,N,-73.525,-2.899,-17.139,20
1.000,7,1875.028,1819.112,2.000,13,001-01-0000013,N,-99.174,-30.999,-40.000,15
1.000,7,1875.028,1819.112,2.000,14,001-01-0000014,N,-68.402,-1.253,-13.971,12
1.000,7,1875.028,1819.112,2.000,15,001-01-0000015,N,-86.300,-18.951,-29.656,11
1.000,7,1875.028,1819.112,2.000,16,001-01-0000016,N,-88.111,-16.840,-32.527,24
1.000,7,1875.028,1819.112,2.000,17,001-01-0000017,N,-93.751,-24.708,-40.000,18
1.000,7,1875.028,1819.112,2.000,18,001-01-0000018,N,-67.555,-0.068,-15.979,12
1.000,7,1875.028,1819.112,2.000,19,001-01-0000019,N,-70.200,-5.662,-16.330,6
1.000,7,1875.028,1819.112,2.000,20,001-01-0000020,S,-56.060,12.235,11.709,4
1.000,7,1875.028,1819.112,2.000,21,001-01-0000021,N,-91.834,-19.816,-35.254,24
1.000,7,1875.028,1819.112,2.000,22,001-01-0000022,N,-84.619,-11.559,-25.530,18
1.000,7,1875.028,1819.112,2.000,23,001-01-0000023,N,-75.338,-10.462,-17.184,11
1.000,7,1875.028,1819.112,2.000,24,001-01-0000024,N,-72.047,-1.733,-17.918,5
1.000,7,1875.028,1819.112,2.000,25,001-01-0000025,N,-67.696,-1.635,-10.762,3
1.000,8,1424.182,553.631,2.000,26,001-01-0000001,N,-69.206,-15.319,-22.103,18
1.000,8,1424.182,553.631,2.000,2,001-01-0000002,N,-83.492,-22.011,-40.000,14
1.000,8,1424.182,553.631,2.000,3,001-01-0000003,N,-81.162,-26.616,-37.105,9
1.000,8,1424.182,553.631,2.000,4,001-01-0000004,N,-82.681,-26.500,-38.531,7
1.000,8,1424.182,553.631,2.000,5,001-01-0000005,N,-68.928,-11.725,-28.620,10
1.000,8,1424.182,553.631,2.000,6,001-01-0000006,N,-88.218,-28.295,-40.000,18
1.000,8,1424.182,553.631,2.000,7,001-01-0000007,N,-79.453,-23.226,-31.570,12
1.000,8,1424.182,553.631,2.000,8,001-01-0000008,N,-60.986,-4.656,-21.269,5
1.000,8,1424.182,553.631,2.000,9,001-01-0000009,S,-43.848,13.865,10.371,1
1.000,8,1424.182,553.631,2.000,10,001-01-0000010,N,-69.559,-11.149,-24.092,7
1.000,8,1424.182,553.631,2.000,11,001-01-0000011,N,-82.114,-23.736,-37.320,19
1.000,8,1424.182,553.631,2.000,12,001-01-0000012,N,-77.994,-21.796,-36.668,13
1.000,8,1424.182,553.631,2.000,13,001-01-0000013,N,-71.906,-13.075,-27.802,8
1.000,8,1424.182,553.631,2.000,14,001-01-0000014,N,-54.917,4.070,-16.357,6
1.000,8,1424.182,553.631,2.000,15,001-01-0000015,N,-67.001,-10.656,-17.894,9
1.000,8,1424.182,553.631,2.000,16,001-01-0000016,N,-91.548,-33.096,-40.000,22
1.000,8,1424.182,553.631,2.000,17,001-01-0000017,N,-93.948,-35.186,-40.000,17
1.000,8,1424.182,553.631,2.000,18,001-01-0000018,N,-77.590,-16.247,-38.960,13
1.000,8,1424.182,553.631,2.000,19,001-01-0000019,N,-79.530,-24.605,-40.000,12
1.000,8,1424.182,553.631,2.000,20,001-01-0000020,N,-70.103,-14.251,-26.562,14
1.000,8,1424.182,553.631,2.000,21,001-01-0000021,N,-85.762,-27.931,-40.000,26
1.000,8,1424.182,553.631,2.000,22,001-01-0000022,N,-84.810,-31.198,-40.000,22
1.000,8,1424.182,553.631,2.000,23,001-01-0000023,N,-88.698,-29.520,-40.000,19
1.000,8,1424.182,553.631,2.000,24,001-01-0000024,N,-95.157,-34.398,-40.000,19
1.000,8,1424.182,553.631,2.000,25,001-01-0000025,N,-90.913,-31.910,-40.000,20
1.000,9,562.911,645.512,2.000,26,001-01-0000001,N,-74.166,-14.330,-34.436,10
1.000,9,562.911,645.512,2.000,2,001-01-0000002,N,-71.937,-14.265,-29.019,8
1.000,9,562.911,645.512,2.000,3,001-01-0000003,N,-72.771,-13.275,-23.841,10
1.000,9,562.911,645.512,2.000,4,001-01-0000004,N,-91.486,-30.867,-40.000,15
1.000,9,562.911,645.512,2.000,5,001-01-0000005,N,-76.387,-19.437,-32.705,20
1.000,9,562.911,645.512,2.000,6,001-01-0000006,N,-73.568,-16.017,-30.744,7
1.000,9,562.911,645.512,2.000,7,001-01-0000007,N,-51.498,5.907,-7.653,2
1.000,9,562.911,645.512,2.000,8,001-01-0000008,N,-77.043,-19.780,-29.955,6
1.000,9,562.911,645.512,2.000,9,001-01-0000009,N,-87.474,-31.374,-40.000,12
1.000,9,562.911,645.512,2.000,10,001-01-0000010,N,-105.679,-40.000,-40.000,18
1.000,9,562.911,645.512,2.000,11,001-01-0000011,N,-75.012,-18.396,-28.796,9
1.000,9,562.911,645.512,2.000,12,001-01-0000012,S,-45.406,13.754,9.029,5
1.000,9,562.911,645.512,2.000,13,001-01-0000013,N,-80.875,-23.086,-39.487,7
1.000,9,562.911,645.512,2.000,14,001-01-0000014,N,-58.326,-3.228,-22.277,13
1.000,9,562.911,645.512,2.000,15,001-01-0000015,N,-77.192,-18.660,-30.633,19
